rc_sap_ref,rc_descr,units,rc_ref
INC_TOAB,Incoordinación toracoabdominal,Descripción,10334
INTEM_ CT,Tiempo de coagulación de la vía intrínseca,s,10335
INTEM_Alpha,Angulo alfa de la vía intrínseca,º,10336
INTEM_CFT,Tiempo de formación del coágulo de la vía intrínseca,s,10337
INTEM_LI30,"Lisis a los 30 minutos, de la vía intrínseca",%,10338
INTEM_LI60,"Lisis als 60 minutos, de la vía intrínseca",%,10339
INTEM_MCF,Firmeza máxima del coágulo de la vía intrínseca,mm,10340
INTEM_ML,"Máxima lisis, de la vía intrínseca",%,10341
IPVP_OP,Indice de permeabilidad vascular pulmonar  estimada por onda de pulso,U,10342
IRVP_TC,Indice de resistencias vasculares pulmonares por técnica transcardíaca,dina*s*m2/cm5,10343
IRVS_OP,Indice de resistencias vasculares sistémicas estimadas por onda de pulso,dina*s*m2/cm5,10344
IRVS_TC,Indice de resistencias vasculares sistémicas por técnica transcardíaca,dina*s*m2/cm5,10345
IRVS_TP,Indice de resistencias vasculares sistémicas medidas por dilución transpulmonar,dina*s*m2/cm5,10346
ITBV_OP,Volumen de sangre intratorácico estimado por onda de pulso,mL,10347
IVSVD_TC,Indice de volumen sistólico ventrículo derecho,mL,10348
IVS_OP,Indice de volumen sistólico estimado por onda de pulso,mL/m2,10349
IVS_TC,Indice de volumen sistólico por técnica transcardíaca,mL/m2,10350
K,Potasio,mMol/L,10351
K_POC_NEO,Potasio por gasómetro en neonatología,mMol/L,10352
LACTATO,Lactato,mg/dL,10353
LACTATO_POC_NEO,Lactato por gasómetro en neonatología,mg/dL,10354
LAF_DIAM_NEO,Tamaño de lentillas de alto flujo en neonatología,Descripción,10355
LAF_DIS_NEO,Dispositivo de lentillas de alto flujo en neonatología,Descripción,10356
LAF_FIO2_NEO,Fracción inspiratoria de oxígeno en lentillas de alto flujo en neonatología,%,10357
LAF_HUM_NEO,Sistema de humidificación para lentillas de alto flujo en neonatología,Descripción,10358
LAF_Q_NEO,Flujo en lentillas de alto flujo en neonatología,L/min,10359
LAF_TEM_HUM_NEO,Temperatura de humidificación de lentillas de alto flujo en neonatología,ºC,10360
LEUCOCITOS,Recuento de leucocitos totales,x10^9/L,10361
LEUCOCITURIA,Leucocituria en tira reactiva,Descripción,10362
LEUCOCITURIA_NEO,Leucocituria en tira reactiva en neonatología,Descripción,10363
LEUCOCITURI_NEO,Leucocituria en tira reactiva en neonatología,Descripción,10364
LIBRE_PORCENTAJ,Parámetro libre (Porcentaje),%,10365
LIBRE_SI_NO,Parámetro libre (Sí/No),Descripción,10366
LIBRE_TEXTO,Parámetro libre (Texto),Descripción,10367
LIN_POS,Posición del balón gástrico Linton en cm a arcadas dentarias,cm,10368
LIN_VOL,Volumen insuflado en el balón Linton,mL,10369
LIPASA,Lipasa,U/L,10370
LIQ_BIOL_MUESTRA,Tipo de líquido biológico que se analiza,Descripción,10371
LIQ_BIO_MUESTRA,,,10843
LLENADO_CAP,Tiempo de llenado capilar,Descripción,10372
LLENADO_CAP_NEO,Tiempo de llenado capilar neonatología,Descripción,10373
LONGITUD_NEO,Longitud en neonatología,cm,10374
LOQUIOS,,,10802
MAREOS,Ausencia/Presencia de mareos,Descripción,10375
MCP_BATERIA,Indicador de batería del marcapasos,Descripción,10376
MCP_DELAY_AV,Retraso aurículo-ventricular,ms,10377
MCP_DIS,Tipo de dispositivo de marcapasos transitorio,Descripción,10378
MCP_FC,Frecuencia marcapasos programada,lpm,10379
MCP_MOD,Modalidad de marcapasos,Descripción,10380
MCP_OUTPUT_A,Intensidad de estímulo auricular,V,10381
MCP_OUTPUT_V,Intensidad de estímulo ventricualr,V,10382
MCP_SENS_A,Umbral de sensado auricular,mV,10383
MCP_SENS_V,Umbral de sensado ventricular,mV,10384
MD_GLUCOSA_SC,,,10842
MELD,Gravedad de la enfermedad hepática,Puntuación,10385
MG,Magnesio,mEq/L,10386
MUST,Cálculo de riesgo nutricional (Malnutrition Universal Screening Tool),Puntuación,10387
MUS_ACC,Uso de musculatura accesoria,Descripción,10388
NA,Sodio,mMol/L,10389
NAUSEAS,Ausencia/Presencia de náuseas,Descripción,10390
NAUS_VOM,,,10877
NA_POC_NEO,Sodio por gasómetro en neonatología,mMol/L,10391
NEB_DIS,Dispositivo utilizado para nebulización,Descripción,10392
NEB_O2_AIR,Nebulización con oxígeno o con aire,Descripción,10393
NEUEND_PIN,Presión intraneuroendoscopio,mm Hg,10394
NEUEND_TEMP_IV,Temperatura intraventricular cerebral en reuroendoscopia,°C,10395
NEURO_EC,Escala neurológica canadiense,Puntuación,10396
NEWS,Valoración de riesgo vital que requiere cuidados críticos IPA,Puntuación,10397
NEWS_2,"Valoración de riesgo vital que requiere cuidados críticos, versión 2 IPA",Puntuación,10398
NEWS_2_ALERTA,,,10831
NEWS_2_MS,"Valoración de riesgo vital que requiere cuidados críticos, versión 2, monitor Masimo",Puntuación,10399
NEWS_2_VIG,,,10819
NEWS_2_WA,"Valoración de riesgo vital que requiere cuidados críticos, versión 2, monitor Welch-Allyn",Puntuación,10400
NIF_ESP,Presión inspiratoria máxima en respiración espontánea,cm H2O,10401
NIH_ATAXIA,Escala NIH: Ataxia de las extremidades,Descripción,10402
NIH_CON,Escala NIH: Nivel de conciencia,Descripción,10403
NIH_CV,Escala NIH: Campos visuales,Descripción,10404
NIH_DISARTRIA,Escala NIH: Disartria,Descripción,10405
NIH_EXT_NEGL,Escala NIH: Extincio?n-Negligencia,Descripción,10406
NIH_LENGUAJE,Escala NIH: Lenguaje,Descripción,10407
NIH_MIRADA,Escala NIH: Mirada conjugada,Descripción,10408
NIH_MOT,Escala NIH: O?rdenes motoras,Descripción,10409
NIH_PARESIA_EID,Escala NIH: Paresia de extremidades inferior D  ,Descripción,10410
NIH_PARESIA_EII,Escala NIH: Paresia de extremidades inferior I,Descripción,10411
NIH_PARESIA_ESD,Escala NIH: Paresia de extremidades superior D,Descripción,10412
NIH_PARESIA_ESI,Escala NIH: Paresia de extremidades superior I  ,Descripción,10413
NIH_PARESIA_FAC,Escala NIH: Paresia facial,Descripción,10414
NIH_SENSIB,Escala NIH: Sensibilidad,Descripción,10415
NIH_VER,Escala NIH: Preguntas verbales,Descripción,10416
NIPE_NEO,Newborn Infant Parasympathetic Evaluation en neonatología,Puntuación,10417
NITRITO_ORINA,Nitritos en tira reactiva,Descripción,10418
NITRITO_ORI_NEO,Nitritos en tira reactiva en neonatología,Descripción,10419
NO_DIS,Modelo de dispositivo para administración de óxido nítrico,Descripción,10420
NO_DIS_NEO,Modelo de dispositivo para administración de óxido nítrico en neonatología,Descripción,10421
NO_FIO2,Fracción inspiratoria de oxígeno en dispositivo de óxido nítrico,%,10422
NO_FIO2_NEO,Fracción inspiratoria de oxígeno en dispositivo de óxido nítrico en neonatología,%,10423
NO_NO,Concentración de óxido nítrico,ppm,10424
NO_NO2,Concentración de dioxido de nitrógeno,ppm,10425
NO_NO2_NEO,Concentración de dioxido de nitrógeno en neonatología,ppm,10426
NO_NO_NEO,Concentración de óxido nítrico en neonatología,ppm,10427
NSRAS_NEO,Neonatal Skin Risk Assessment Scale,Puntuación,10428
O2_DIS,Dispositivo para la administración de oxígeno en respiración espontánea,Descripción,10429
O2_DIS_NEO,Disp. para la administración de oxígeno en respiración espontánea en neonat.,Descripción,10430
O2_FIO2_NEO,Fracción inspiratoria de oxígeno en respiración espontánea en neonatología,%,10431
O2_HUM,Sistema de humidificación en administración de oxígeno en respiración espontánea,Descripción,10432
O2_HUM_NEO,Sistema de humidificación en administración de oxígeno en respiración espontánea,Descripción,10433
O2_Q,Flujo de oxígeno en respiración espontána,L/min,10434
O2_Q_NEO,Flujo de oxígeno en respiración espontána,L/min,10435
O2_TEMP_HUM,Temperatura de humidificación activa,ºC,10436
O2_TEMP_HUM_NEO,,,10847
OMBL_NEO,Ombligo,Descripción,10437
OP_TP_PLT_DIS,Dispositivo de monitorización no invasiva,Descripción,10438
OXIGEN,Oxigen,Descripción,10439
PAD_D,Presión aurícula derecha diastólica,mm Hg,10440
PAD_M,Presión aurícula derecha media,mm Hg,10441
PAD_S,Presión aurícula derecha sistólica,mm Hg,10442
PAI_D,Presión aurícula izquierda dastólica,mm Hg,10443
PAI_M,Presión aurícula izquierda media,mm Hg,10444
PAI_S,Presión aurícula izquierda sistólica,mm Hg,10445
PANIC_D,Presión arterial no invasiva contínua diastólica,mm Hg,10446
PANIC_M,Presión arterial no invasiva contínua media,mm Hg,10447
PANIC_S,Presión arterial no invasiva contínua sistólica,mm Hg,10448
PANI_D,Presión arterial no invasiva diastólica,mm Hg,10449
PANI_D_NEO,Presión arterial no invasiva diastólica en neonatología,mm Hg,10450
PANI_M,Presión arterial no invasiva media,mm Hg,10451
PANI_M_NEO,Presión arterial no invasiva media en neonatología,mm Hg,10452
PANI_S,Presión arterial no invasiva sistólica,mm Hg,10453
PANI_S_NEO,Presión arterial no invasiva sistólica en neonatología,mm Hg,10454
PAP_D,Presión arteria pulmonar diastólica,mm Hg,10455
PAP_M,Presión arteria pulmonar media,mm Hg,10456
PAP_S,Presión arteria pulmonar sistólica,mm Hg,10457
PA_D,Presión arterial invasiva diastólica,mm Hg,10458
PA_D_NEO,Presión arterial invasiva diastólica en neonatología,mm Hg,10459
PA_D_TOF,,,10810
PA_M,Presión arterial invasiva media,mm Hg,10460
PA_M_NEO,Presión arterial invasiva media en neonatología,mm Hg,10461
PA_S,Presión arterial invasiva sistólica,mm Hg,10462
PA_S_NEO,Presión arterial invasiva sistólica en neonatología,mm Hg,10463
PA_S_TOF,,,10809
PcCO2,Presión parcial de CO2 transcutánea,mm Hg,10464
PcCO2_NEO,Presión parcial de CO2 transcutánea en neonatología,mm Hg,10465
PCO2,Presión parcial de anhídrido carbónico,mm Hg,10466
PCO2_NEO,Presión parcial de anhídrido carbónico en neonatología,mm Hg,10467
PEAK-FLOW_ESP,Flujo espiratorio máximo en respiración espontánea,L/min,10468
PERD_LIQ_AMNIO,,,10804
PERIM_ABD,Perímetro abominal,cm,10469
PERIM_ABD_NEO,Perímetro abominal en neonatología,cm,10470
PERIM_CRANEAL,Perímetro craneal,cm,10471
PERIM_EID,Perímetro extremidad inferior derecha,cm,10472
PERIM_EII,Perímetro extremidad inferior izquierda,cm,10473
PERIM_ESD,Perímetro extremidad superior derecha,cm,10474
PERIM_ESI,Perímetro extremidad superior izquierda,cm,10475
PERIM_TORAX,Perímetro de tórax,cm,10476
PERINE,Valoración de perine en mujer,Descripción,10477
PERI_CRAN_NEO,Perímetro craneal neonatología,cm,10478
PESO,Peso,Kg,10479
PESO_NEO,Peso en neonatología,Kg,10480
PES_TR_NEO,Peso de trabajo en neonatologia,Kg,10481
pH,Potencial de hidrogeniones,U,10482
pH_LIQ_BIOL,Potencial de hidrogeniones del líquido biológico que se analiza,U,10483
pH_NEO,Potencial de hidrogeniones en neonatología,U,10484
pH_ORINA,Potencial de hidrogeniones en orina,U,10485
pH_ORINA_NEO,Potencial de hidrogeniones en orina neonatología,U,10486
PIA,Presión intrabdominal,mm Hg,10487
PIA_NEO,,,10889
PIC_EP_DER,,,10896
PIC_EP_MEDIAL,Presión Intracraneal epidural medial,mm Hg,10488
PIC_IP_D,Presión intracerebral intraparenquimatosa diastólica,mm Hg,10489
PIC_IP_M,Presión intracerebral intraparenquimatosa media,mm Hg,10490
PIC_IP_S,Presión intracerebral intraparenquimatosa sistólica,mm Hg,10491
PIC_IV_DER,Presión Intracraneal intraventricular derecha,mm Hg,10492
PIC_IV_IZQ,Presión Intracraneal intraventricular izquierda,mm Hg,10493
PIC_LCR,Presión LCR por punción lumbar,cm H2O,10494
PIC_SD_DER,Presión Intracraneal subdural derecha,mm Hg,10495
PIC_SD_IZQ,Presión Intracraneal subdural izquierda,mm Hg,10496
PLAQUETAS,Recuento de plaquetas,x10^12/L,10497
PO2,Presión parcial de oxígeno,mm Hg,10498
PO2_NEO,Presión parcial de oxígeno en neonatología,mm Hg,10499
POAP,Presión de oclusión de arteria pulmonar,mm Hg,10500
POS_CAMA,Posición de la cabecera de la cama respecto a la horizontal,Grados,10501
POS_CAMA_HILL,,,10894
POS_CAMA_HILLROM,Posición de la cabecera de la cama respecto a la horizontal  enviado por cama Hillrom,Grados,10502
POS_CAP,Posición del catéter de la arteria pulmonar,cm,10503
POS_PACIENTE,Posición del paciente,Descripción,10504
POS_PACIENTE_NEO,Posición del paciente en neonatología,Descripción,10505
POS_PATNR_HILL,,,10844
POS_PATNR_NEO,Posición del paciente en neonatología,Descripción,10506
PPA,,,10860
PPC,Presión de perfusión cerebral,mm Hg,10507
PPM,,,10891
PRESN_DIA,Presión arterial no invasiva diastólica,mm Hg,10508
PRESN_SIS,Presión arterial no invasiva sistólica,mm Hg,10509
PRES_BAL,Presión balón pneumotaponamiento,cm H2O,10510
PRES_BAL_POST,Presión balón pneumotaponamiento tras control,cm H2O,10511
PRIM_DEAMB,,,10887
PROTEINURIA,Proteinuria en tira reactiva,Descripción,10512
PROTEINURIA_NEO,Proteinuria en tira reactiva en neonatología,Descripción,10513
PROTROMBINA_TAS,Tasa de protrombina,%,10514
PROTROMBINA_TASA,Tasa de protrombina,%,10515
PROT_TOT,Proteínas totales plasmáticas,g/L,10516
PTCÂ _COUNTÂ ,Contaje post-tetánico,n,10517
PTIO2,Presión tisular de oxígeno cerebral,mm Hg,10518
PULSIOX,Saturación de oxígeno por pulsioximetría,%,10519
PULSO,Freqüència cardíaca por pulso,lpm,10520
PULSO_ACD,Intensidad de pulso arteria carótida interna derecha,Descripción,10521
PULSO_ACI,Intensidad de pulso arteria carótida interna izquierda,Descripción,10522
PULSO_AFD,Intensidad de pulso arteria femoral derecha,Descripción,10523
PULSO_AFI,Intensidad de pulso arteria femoral izquierda,Descripción,10524
PULSO_AHD,Intensidad de pulso arteria humeral derecha,Descripción,10525
PULSO_AHI,Intensidad de pulso arteria humeral izquierda,Descripción,10526
PULSO_APED,Intensidad de pulso arteria pedia derecha,Descripción,10527
PULSO_APEI,Intensidad de pulso arteria pedia izquierda,Descripción,10528
PULSO_APOD,Intensidad de pulso arteria poplítea derecha,Descripción,10529
PULSO_APOI,Intensidad de pulso arteria poplítea izquierda,Descripción,10530
PULSO_ARD,Intensidad de pulso arteria radial derecha,Descripción,10531
PULSO_ARI,Intensidad de pulso arteria radial izquierda,Descripción,10532
PULSO_ATD,Intensidad de pulso arteria tibial derecha,Descripción,10533
PULSO_ATI,Intensidad de pulso arteria tibial izquierda,Descripción,10534
PULSO_AXD,Intensidad de pulso arteria axilar derecha,Descripción,10535
PULSO_AXI,Intensidad de pulso arteria axilar izquierda,Descripción,10536
PULSO_ESD,,,10852
PULSO_ESI,,,10849
PVC,Presión venosa central medida por columna de agua,cm H2O,10537
PVC_COL,Presión venosa central medida por columna de agua,cm H20,10538
PVC_D,Presión venosa central diastólica,mm Hg,10539
PVC_M,Presión venosa central invasiva media,mm Hg,10540
PVC_M_NEO,Presión venosa central invasiva media en neonatología,mm Hg,10541
PVC_S,Presión venosa central sistólica,mm Hg,10542
PVD_D,,,10858
PVS,,,10895
QRH_CIRCUIT_CAL,Calibre del circuito de quimipterapia regional en perfusión hipertérmica,Descripción,10543
QRH_CIRCUIT_PRE,Presión del circuito de quimioterapia regional en perfusión hipertérmica,mm Hg,10544
QRH_CIRCUIT_TIP,Tipo de circuito de circulación extracorpórea oncológica,Descripción,10545
QRH_DIS,Dispositivo para la realización de la quimioterapia regional en perfusión hipertérmica,Descripción,10546
QRH_DUR_TOTAL,Tiempo total de duración de la quimioterapia regional en perfusión hipertérmica,min,10547
QRH_ENTR_TEMP,Temperatura de entrada de la solución perfundida en QRH,ºC,10548
QRH_INTV_FARM12,Duración del intervalo entre la administración fármacos 1 y 2 en QRH,min,10549
QRH_INTV_FARMA23,Duración del intervalo entre la administración fármacos 2 y 3 en QRH,min,10550
QRH_PERF_Q,Flujo de la bomba de infusión de quimioterapia en perfusión hipertérmica,L/min,10551
QRH_SALI_TEMP,Temperatura de salida de la solución perfundida en QRH,ºC,10552
QRH_TADMI_FARM1,Tiempo de administración fármaco 1 en QRH,min,10553
QRH_TADMI_FARM2,Tiempo de administración fármaco 2 en QRH,min,10554
QRH_TADMI_FARM3,Tiempo de administración fármaco 3 en QRH,min,10555
QSOFA,Valoración de fallo orgánico (quick SOFA),Puntuación,10556
REHAB,,,10878
REL_PUP,Relación pupilar,Descripción,10557
REL_PUP_NEO,Relación pupilar en neonatología,Descripción,10558
RESU_COMP,,,10863
RESU_DIS,,,10862
RIESGO_DETERIORO,Valoración del riesto de deterioro,Formulario,10559
RIESG_DETER_ENF,,,10806
ROTS,Reflejos osteotendinosos,Descripción,10560
RVP_TC,Resistencias vasculares pulmonares por técnica transcardíaca,dina*s/cm5,10561
RVS_OP,Resistencias vasculares sistémicas estimadas por onda de pulso,dina*s/cm5,10562
RVS_TC,Resistencias vasculares sistémicas por técnica transcardíaca,dina*s/cm5,10563
RVS_TP,Resistencias vasculares sistémicas medidas por dilución transpulmonar,dina*s/cm5,10564
SANGRADO VAGINAL,Ausencia/Presencia de sangrado vaginal,Descripción,10565
SANGRADO_VAGINA,,,10803
SANGRE_MUESTRA,Origen de la muestra sanguínea,Descripción,10566
SAN_MUESTRA_NEO,Origen de la muestra sanguínea en neonatología,Descripción,10567
SAO2,Saturación de oxígeno arterial,%,10568
SAPS3,Valoración de gravedad del enfermo crítico,Puntuación,10569
SBI_ESP,Indice de respiración superficial en respiración espontánea,valor ,10570
SCO2,Saturación de oxígeno cutánea,%,10571
SCVO2,Saturación de oxígeno venosa central,%,10572
SC_TE_TRP_COVID,Score Puntuaición de Techo Terapéutico,Puntuación,10573
SEDACION_RAMSAY,Nivel de sedación según escala de Ramsay,Puntuación,10574
SEDACION_RASS,Nivel de sedación según escala de RASS,Puntuación,10575
SEDLINE_TS,Tasa de supresión en SEDLINE,%,10576
SENG_POS,Posición del balón esofágico Sengstaken en cm a arcadas dentarias,cm,10577
SENG_PRES,Presión del balón esofágico Sengstaken,mm Hg,10578
SENS_EID,sensibilidad extremidad inferior derecha,Descripción,10579
SENS_EII,sensibilidad extremidad inferior izquierda,Descripción,10580
SENS_ESD,sensibilidad extremidad superior derecha,Descripción,10581
SENS_ESI,sensibilidad extremidad superior izquierda,Descripción,10582
SILVERMAN_NEO,"Score de distrés respiratorio en neonatología, Silverman",Descripción,10583
SO2,Saturación de oxígeno,%,10584
SO2_NEO,Saturación de oxígeno en neonatología,%,10585
SOFA,Valoración de fallo orgánico,Puntuación,10586
SpO2Â ,Saturación de oxígeno por pulsioximetría,%,10592
SpO2Â _NEO,Saturación de oxígeno por pulsioximetría en neonatología,%,10593
SPO2_EID,Saturación de oxígeno por pulsioximetría en extremidad inferior derecha,%,10587
SPO2_EII,Saturación de oxígeno por pulsioximetría en extremidad inferior izquierda,%,10588
SpO2_NEO,Saturación de oxígeno por pulsioximetría en neonatología,%,10589
SpO2_POSTD_NEO,Saturación de oxígeno por pulsioximetría postductal en neonatología,%,10590
SpO2_PRED_NEO,Saturación de oxígeno por pulsioximetría preductal en neonatología,%,10591
SRCO2_DER,Saturación regional de oxígeno cerebral lado derecho,%,10594
SRCO2_DER_NEO,Saturación regional de oxígeno cerebral lado derecho en neonatología,%,10595
SRCO2_DISP_NEO,Dispositivo de saturación regional de oxígeno cerebral en neonatología,Descripción,10596
SRCO2_IZQ,Saturación regional de oxígeno cerebral lado izquierdo,%,10597
SRCO2_IZQ_NEO,Saturación regional de oxígeno cerebral lado izquierdo en neonatología,%,10598
STO2_EID,Saturación de oxígeno tisular en extremidad inferior derecha,%,10599
STO2_EII,Saturación de oxígeno tisular en extremidad inferior izquierda,%,10600
STO2_ESD,,,10873
STO2_ESI,,,10864
STO2_REF,,,10875
STO2_REF_NEO,Saturación de oxígeno tisular como refer. en monit. neurológica en neonatología,%,10601
SUPRA_TAM,,,10828
SUPRA_TIPO,Dispositivo supraglótico para acceso a vía aérea,Descripción,10602
SURF_MODO_NEO,Modo de administración de surfactante pulmonar en neonatología,Descripción,10603
SVO2Â ,Saturación de oxígeno venosa mixta,%,10604
SVO2 ,,,10829
TALLA,Talla,cm,10605
TCA,Tiempo de coagulación activado,s,10606
TCSR_ANTICOAG,Tipo de anticoagulación utilizada en TCSR,Descripción,10607
TCSR_CAL_TEMP,Temperatura calentador externo en TCSR,ºC ,10608
TCSR_CA_DOS,Dosis de calcio en TCSR,mMol/L,10609
TCSR_CA_Q,Flujo de calcio en TCSR,mL/h,10610
TCSR_CA_SOL,Solución de calcio en TCSR,Descripción,10611
TCSR_CIT_CA,,,10822
TCSR_CIT_DOS,Dosis de citrato en TCSR,mMol/L,10612
TCSR_CIT_Q,Flujo de solución de citrato en TCSR,mL/h,10613
TCSR_CIT_SOL,Solución de citrato en TCSR,Descripción,10614
TCSR_DIAL_KCL,KCl extra añadido a solución dializante en TCSR,mMol/L,10615
TCSR_DIAL_Q,Flujo de la solución dializante en TCSR,mL/h,10616
TCSR_DIAL_SOL,Solución dializante en TCSR,Descripción,10617
TCSR_DIA_KH2PO4,KH2PO4 extra añadido a solución dializante en TCSR,mMol/L,10618
TCSR_DIS,Tipo de dispositivo utillizado para TCSR,Descripción,10619
TCSR_EXT_HORA,Extracción horaria pautada en TCSR,mL,10620
TCSR_FIL,Tipo de hemofiltro en TCSR,Descripción,10621
TCSR_HEP_Q,Flujo de heparina en TCSR,mL/h,10622
TCSR_ID_FIL,Número de identificación del hemofiltro para TCSR,Identificación,10623
TCSR_MOD,Modalidad de terapia contínua de sustitución renal,Descripción,10624
TCSR_PRE_POST,Lugar de aporte de la solución de reposición en TCSR,Descripción,10625
TCSR_PTM,Presión transmembrana en TCSR,mm Hg,10626
TCSR_P_EFLU,Presión de efluente en TCSR,mm Hg,10627
TCSR_P_ENT,Presión de entrada en TCSR,mm Hg,10628
TCSR_P_RET,Presión de retorno en TCSR,mm Hg,10629
TCSR_REP_KCL,KCl extra añadido a solución de reposición en TCSR,mMol/L,10630
TCSR_REP_KH2PO4,KH2PO4 extra añadido a solución de reposición en TCSR,mMol/L,10631
TCSR_REP_Q,Flujo de la solución de reposición en TCSR,mL/h,10632
TCSR_REP_SOL,Solución de reposición en TCSR,Descripción,10633
TCSR_SANGRE_Q,Flujo de sangre en TCSR,mL/min,10634
TC_DIS,Dispositivo para monitorización basado en termodilución transcardíaca,Descripción,10635
TEMP_AP,Temperatura arteria pulmonar,°C,10636
TEMP_AX,Temperatura axilar,°C,10637
TEMP_AXI,Temperatura axilar,°C,10638
TEMP_AX_NEO,Temperatura axilar en neonatología,°C,10639
TEMP_BU,Temperatura bucal,°C,10640
TEMP_CE,Temperatura cerebral,°C,10641
TEMP_CT,Temperatura cutánea,°C,10642
TEMP_CT_NEO,Temperatura cutánea en neonatología,°C,10643
TEMP_EII,Temperatura en extremidad inferior izquierda,°C,10644
TEMP_ES,Temperatura esofágica,°C,10645
TEMP_ESD,Temperatura en extremidad superior derecha,°C,10646
TEMP_ESI,Temperatura en extremidad superior izquierda,°C,10647
TEMP_ESID,Temperatura en extremidad inferior derecha,°C,10648
TEMP_ES_NEO,Temperatura esofágica en neonatología,°C,10649
TEMP_EV,Temperatura endovascular,°C,10650
TEMP_RE,Temperatura rectal,°C,10651
TEMP_REC,Temperatura rectal,°C,10652
TEMP_RE_NEO,Temperatura rectal en neonatología,°C,10653
TEMP_SERVO_NEO,Temperatura servocontrolada en neonatología,°C,10654
TEMP_TIM,Temperatura timpánica,°C,10655
TEMP_TIM_DER,Temperatura timpánica derecha,°C,10656
TEMP_TIM_IZQ,Temperatura timpánica izquierda,°C,10657
TEMP_VE,Temperatura vesical,°C,10658
TEM_DIS,Dispositivo utilizado para tromboelastometría,Descripción,10659
TEST_EMBARA_ORI,,,10814
TET_BLOQ_LADO,,,10841
TET_DIAM,Diámetro del tubo/cánula endotraqueal/endobronquial,Descripción,10660
TET_DIAM_NEO,Diámetro del tubo endobronquial neonatología,Descripción,10661
TET_DIS,Tipo de tubo/cánula endotraqueal/endobronquial,Descripción,10662
TET_DIS_NEO,Tipo de tubo endotraqueal neonatología,Descripción,10663
TET_INS,Orificio de inserción del tubo endotraqueal,Descripción,10664
TET_INS_NEO,Orificio de inserción del tubo endotraqueal en neonatología,Descripción,10665
TET_POSICION,Distancia de arcadas dentarias,cm,10666
TET_POS_NEO,Distancia de la comisura bucal/nasal en neonatología,cm,10667
THRILL_FAVI,Presencia de frémito en fístula arteriovenosa,Descripción,10668
TIMED_UG,,,10808
TOF_COUNT,Recuento en Tren de Cuatro,n,10669
TOF_DIS,Dispositivo para valorar la relajación muscular,Descripción,10670
TOF_RATIO,Ratio en Tren de Cuatro,%,10671
TOL_ORT,,,10876
TON_MUS_NEO,Tono muscular,Descripción,10672
TPPA,Tiempo de tromboplastina parcial activada,s,10673
TRANSILUM_NEO,Transiluminación torácica en neonatología,Descripción,10674
TROPONINA,Troponina I,ng/mL,10675
TTPA,Tiempo de tromboplastina parcial activada,s,10676
UPP_CLASIF_NEO,Clasificación de la úlcera por presión en neonatología,Descripción,10677
UROBILINO_ORINA,,,10815
UTER_ALTURA,Altura uterina respecto a nivel umbilical,cm,10678
VCE_ESP,Volumen corriente en respiración espontánea,mL,10679
VIA_AEREA_MOD,Modalidad de acceso a la vía aérea para respiración,Descripción,10680
VIA_AER_MOD_NEO,Modalidad de acceso a la vía aérea para respiración_neonatología,Descripción,10681
VMA_AIR_Q,Flujo de entrada de aire fresco al VM anestesia,L/min,10682
VMA_CAM_GH,Concentración alveolar mínima gas halogenado en VM anestesia,Ratio,10683
VMA_DIS,Tipo de dispositivo de VM anestesia,Descripción,10684
VMA_FECO2,Presión parcial espiratoria de anhídrido carbónico del VM anestesia,mm Hg,10685
VMA_FEDES,Fracción espiratoria de desflorano del VM anestesia,%,10686
VMA_FEO2,Fracción espiratoria de oxígeno del VM anestesia,%,10687
VMA_FESEVO,Fracción espiratoria de sevoflorano del VM anestesia,%,10688
VMA_FICO2,Presión parcial inspiratoria de anhídrido carbónico al VM anestesia,mm Hg,10689
VMA_FIDES,Fracción inspiratoria de desflorano al VM anestesia,%,10690
VMA_FIO2,Fracción inspiratoria de oxígeno al VM anestesia,%,10691
VMA_FISEVO,Fracción inspiratoria de sevoflurano al VM anestesia,%,10692
VMA_FR_CMV,Frecuencia respiratoria actual del paciente en VM anestesia,resp/min,10693
VMA_FR_CMV_PAUT,Frecuencia respiratoria pautada en modalidad controlada en VM anestesia,resp/min,10694
VMA_MOD,Modalidad ventilatoria en VM anestesia,Descripción,10695
VMA_O2_Q,Flujo de entrada de oxígeno al VM anestesia,L/min,10696
VMA_PEEP_ACT,PEEP actual medida en VM anestesia,cm H2O,10697
VMA_PEEP_PAUTA,PEEP pautada en VM anestesia,cm H2O,10698
VMA_P_CTL,Presión control por encima de PEEP en VM anestesia,cm H2O,10699
VMA_P_PIC,Presión pico en VM anestesia,cm H2O,10700
VMA_P_PLAT,Presión meseta en VM anestesia,cm H2O,10701
VMA_VCE,Volumen corriente espiratorio en VM anestesia,mL,10702
VMA_VCI,Volumen corriente pautado en VM anestesia,mL,10703
VMA_VMIN,Volumen minuto espiratorio en VM anestesia,L/min,10704
VMI_ASV,Porcentaje de volumen minuto calculado garantizado (ASV),%,10705
VMI_C20C_NEO,C20/C en VM invasiva en neonatología,0,10706
VMI_CDIN,Compliancia dinámica torácica en VM invasiva,mL/cm H2O,10707
VMI_CDIN_NEO,Compliancia dinámica torácica en VM invasiva en neonatología,mL/cm H2O,10708
VMI_CMV_FR_PAUT,Frecuencia respiratoria pautada en modalidad controlada en VM invasiva,resp/min,10709
VMI_CSTA,Compliancia estática torácica en VM invasiva,mL/cm H2O,10710
VMI_DIS,Modelo de ventilador mecánico invasivo,Descripción,10711
