snomed_ref,snomed_descr
54122009,enfermedad de Eales
54137008,hipovitaminosis e
54150009,infeccion de vias respiratorias superiores
54212005,contracciones uterinas irregulares
54296007,quemadura en mano de segundo grado
54302000,telorrea
54318006,"edad gestacional, 19 semanas"
54329005,infarto agudo de miocardio de pared anterior
54385001,exantema subito
54398005,infeccion aguda de vias respiratorias superiores
54404000,radiculopatia cervical
54411001,sindrome de peutz-jeghers
54441004,fractura de diafisis de femur
54519002,estenosis de arteria basilar
54530004,fractura expuesta del maléolo medial
54552008,trastorno de acomodacion
54556006,fisura de cubito
54569005,síndrome de bernard soulier
54586004,dolor abdominal inferior
54587008,fobia simple
54609002,ulcera del recto
54645004,fractura de Barton
54687002,embolia arterial
54781007,"hipercaliemia, reducción de la excreción renal"
54822007,úlcera yeyunal
54823002,hipotiroidismo subclinico
54888009,esguince de rodilla
54967001,riñón doble
54981004,inflamacion muscular
55004003,sindrome de secrecion inadecuada de hormona antidiuretica
55033002,contractura de musculo
55042009,contusion multiple
55133004,miopatia congenita multiminicore
55146009,sacroileitis
55184003,infeccion enterica
55222007,dolor mamario a la palpacion
55260003,espolon calcaneo
55300003,calambres
55341008,trastorno histrionico de la personalidad
55342001,enfermedad neoplasica
55382008,aterosclerosis cerebral
55399009,absceso de dedo
55446002,mutacion genetica
55464009,lupus eritematoso sistemico
55475008,sindrome de lown - ganong - levine
55525008,ileo paralitico
55560002,herpes zoster diseminado
55608001,prurigo simple
55668003,trastorno adaptativo mixto
55716004,"fractura de la base de hueso metacarpiano, excepto el primero"
55735004,infeccion por virus respiratorio sincicial
55809007,colitis causada por radiacion
55822004,hiperlipidemia
55827005,hipertrofia ventricular izquierda
55855009,trastorno del pericardio
55860008,estenosis de estomago
55891002,problema de acomodacion visual
55899000,cuerpo extraño ocular
55929007,sentimiento de irritabilidad
55938009,temblor de la voz
55956009,trastorno en el contenido del pensamiento
55995005,esferocitosis hereditaria
56018004,sibilancias
56019007,enfermedad sistemica
56038003,enfermedad infecciosa estafilococica
56051008,cetoacidosis
56081000,quiste subconjuntival
56097005,migraña sin aura
56160003,secrecion vaginal del embarazo
56170001,fotopsia
56218007,hipertension arterial sistolica
56226004,estenosis intestinal
56253000,parapsoriasis en placas
56265001,cardiopatia
56294008,adiccion a nicotina
56317004,alopecia
56335008,infeccion causada por Trichomonas
56454009,pitiriasis versicolor
56478004,reaccion leucemoide
56517003,hemorragia esplénica
56557000,fibrositis
56574000,poliuria
56576003,trastorno de pánico sin agorafobia
56578002,fumador moderado (20 cigarrillos o menos por dia)
56608008,dolor de muñeca
56641006,diagnostico en el eje ii
56644003,celulitis del ombligo
56663002,infeccion aguda del pabellon de la oreja
56675007,insuficiencia cardiaca aguda
56681004,trastorno cerebral
56689002,enfermedad de Crohn del intestino delgado
56713002,disfuncion tubarica
56717001,tuberculosis
56727007,vitiligo
56731001,hipertonia muscular
56819008,endocarditis
56852002,acromatopsia
56871000,amiloidosis localizada
56882008,anorexia nerviosa
56890008,victima de agresion sexual
56905009,perforacion de intestino
56925008,disfuncion sexual
56975005,nevo angiomatoso cutaneo
56989000,sindrome de Eaton - Lambert
57019003,verrugas
57044006,quiste de riñon
57054005,infarto agudo de miocardio
57158005,polipo de la vulva
57185003,hipotiroidismo primario
57190000,miopia
57194009,trastorno de adaptacion
57207003,queratopatia bullosa
57219006,cierre precoz de suturas
57243009,fistula urinaria
57348003,obstrucción de la vena porta
57406009,sindrome del tunel carpiano
57451009,traqueobronquiomegalia congenita
57534004,cambios en el aspecto vascular retiniano
57577003,fractura de tres costillas
57630001,primer trimestre del embarazo
57653000,insuficiencia multiorganica
57676002,dolor articular
57713008,corditis
57759005,desgarro perineal de primer grado
57773001,prolapso rectal
57781000,trastorno de cuerdas vocales
57797005,aborto inducido
57829009,estenosis de la vagina
57838006,sindrome de retinitis pigmentaria - sordera
57891003,recien nacido a termino
57907009,edad gestacional
57920007,gingivoestomatitis herpetica
57993004,displasia mamaria benigna
58037000,sindrome de cowden
58075000,contusion de dedo de pie
58103005,fistula perianal
58126003,infeccion de herida quirurgica
58150001,fractura de clavicula
58170007,meningitis viral
58193001,paralisis cerebral infantil diplejica
58214004,esquizofrenia
58221004,contusion de sitios multiples de la extremidad superior
58250006,escozor al orinar
58262005,kwashiorkor
58265007,giardiasis
58275005,porfiria variegata
58358002,angiodisplasia de intestino delgado
58381000,hiperesplenismo
58437007,meningitis tuberculosa
58554001,empiema de la pleura
58574008,nefropatia aguda
58580000,fractura subcapital de cuello de femur
58606001,deficiencia inmunologica primaria
58610003,atrofia optica de Leber
58612006,infarto agudo de miocardio de pared lateral
58648008,gammapatia monoclonal benigna
58690002,parasomnia
58703003,depresion postparto
58729003,trastorno de los vasos capilares
58756001,corea de Huntington
58759008,intertrigo
58780002,aneurisma arterial falso
58781003,tendinitis de musculo gluteo
58795000,distrofia muscular distal
58797008,complicacion de riñon trasplantado
58881007,"polipo del cuello uterino, que afecta el embarazo"
58949002,absceso tubo-ovarico
58964002,absceso de antebrazo
58972000,goteo
59020000,adenitis de la glandula de Skene
59021001,angina de decubito
59026006,blefarospasmo
59032001,lengua geografica
59037007,intolerancia a medicamento
59047005,fistula aortointestinal
59050008,insomnio de conciliacion
59062007,estenosis coronaria
59118001,bloqueo de rama derecha
59172008,acne pustulosa
59229005,porfiria cutanea tardia familiar
59265000,disnea paroxística
59276001,retinopatia proliferativa debida a diabetes mellitus
59282003,embolia pulmonar
59393003,hidrosadenitis supurativa
59455009,acidosis metabolica
59466002,segundo trimestre del embarazo
59523007,queratitis disciforme por virus del herpes simple
59566000,oligoamnios
59568004,lesion traumatica de la aorta toracica
59614000,sangre oculta detectada en materia fecal
59621000,hipertension esencial
59631007,drenaje venoso pulmonar anomalo
59639009,"fractura de extremo proximal de perone, no expuesta"
59655002,hiperprolinemia
59678008,signo de Popeye
59698003,trastorno de la conjuntiva
59707005,absceso de la faringe
59770006,dislexia
59771005,colecistitis aguda litiasica
59848001,hiperbilirrubinemia obstructiva
59857007,quiste de fisura branquial
59883002,celulitis de la pared abdominal
59927004,insuficiencia hepatica
59931005,inversión de la onda t en el electrocardiograma
60001007,estado de no embarazo
60046008,derrame pleural
60098005,quiste de la glandula de Meibomio del parpado superior izquierdo
60113004,trastorno de parpado
60121005,queratitis xerotica
60131003,cicatriz adherente
60136008,tuberculosis intestinal
60168000,osteomielitis
60189009,degeneracion de vitreo
60198007,forúnculo de axila
60199004,intoxicacion por metadona
60234000,insuficiencia valvular aortica
60280003,presion intraocular normal
60331006,percepcion auditiva anormal
60332004,triquiasis
60342002,trastorno de la movilidad
60380001,narcolepsia
60389000,paralisis periferica de nervio facial
60404007,absceso cerebral
60412004,infestacion causada por larvas de mosca
60423000,disfuncion del nodulo sinoauricular
60442001,perdida visual transitoria
60492000,trastorno de ligamento
60555002,vasculitis leucocitoclastica
60573004,estenosis de la valvula aortica
60600009,trastorno de la laringe
60684003,sindrome de sinovitis - acne - pustulosis - hiperostosis - osteomielitis (SAPHO)
60700002,perdida de la audicion neurosensorial
60703000,neuropatia axonica
60728008,abdomen distendido
60735000,lagoftalmos
60738003,miopatia secundaria
60750009,enfermedad del tercer nervio craneal
60787001,hipoplasia congenita del cayado aortico
60818005,afagia
60845006,disnea de esfuerzo
60862001,acufenos
60897004,contusion de la mano
60901005,intoxicacion por inhalantes
60937000,degeneracion de disco intervertebral lumbosacro
61003004,epidermolisis
61011009,osteomielitis bacteriana
61018003,fistula de la piel
61037007,bocio coloide
61126009,poliartritis infecciosa
61142002,microftalmia
61152003,cociente intelectual 35-49
61169001,obstruccion de la laringe
61170000,mucositis de boca
61261009,anemia hemolitica
61267008,neovascularizacion retiniana
61281005,esputo con sangre
61288004,envenenamiento por serpiente venenosa
61347001,ulcera duodenal aguda con perforacion
61372001,agresividad
61373006,bacteriuria
61401005,hemorragia gastrica
61438005,envenenamiento por agentes psicotropicos
61462000,paludismo
61486003,sacralgia
61536007,degeneracion retiniana periferica
61582004,rinitis alergica
61599003,pirexia de origen desconocido
61653009,fractura-luxacion de articulacion trapezometacarpiana
61937009,bronquitis crónica simple
61974008,absceso epidural
61977001,hepatitis B cronica
62014003,reaccion adversa a un medicamento
62067003,sindrome de corazon izquierdo hipoplasico
62106007,conmocion sin perdida de la conciencia
62112002,lesion traumatica de la mama
62176008,endoforia
62224002,absceso de apendice ileocecal
62305002,trastorno del lenguaje
62315008,diarrea
62333002,"edad gestacional, 13 semanas"
62382002,sindrome CRST
62385000,alveolitis del maxilar
62415009,retraso en la articulacion del habla y desarrollo del lenguaje
62452009,acufenos subjetivo
62473009,gastropatia por aine
62476001,desorientado
62479008,SIDA
62484002,fibrosis hepatica
62507009,sensacion de hormigueo
62531004,placenta previa marginal
62564004,conmocion con perdida de la consciencia
62585004,trastorno degenerativo del globo ocular
62629000,diastasis de rectos
62635000,lesion traumatica superficial de la cornea
62660000,sedimento conjuntival
62676009,paludismo por Plasmodium falciparum
62695002,infarto agudo de miocardio anteroseptal
62738008,quemadura en brazo de segundo grado
62744007,ortopnea
62752005,infestacion causada por Sarcoptes
62837005,celulitis de la mano
62909004,ectropion
62914000,enfermedad cerebrovascular
62950007,encefalomielitis
62994001,traqueitis
63042009,atresia congénita de válvula tricúspide
63102001,alteracion visual
63110000,"edad gestacional, 7 semanas"
63144007,vulvitis
63198006,condromalacia
63246000,enfermedad inflamatoria pelvica
63305008,estenosis esofagica
63339007,trastorno del cuello del utero
63363004,sindrome de la vena cava superior
63393005,"anorexia nerviosa, tipo compulsivo/purgativo"
63398001,infeccion bacteriana causada por pseudomonas
63440008,papiloma plantar
63467002,bloqueo de rama izquierda
63480004,broncopatia cronica
63491006,claudicacion intermitente
63501000,prurigo nodular
63532004,diverticulos de intestino
63537005,relacion sexual protegida
63565007,anemia congénita
63593006,latidos supraventriculares prematuros
63722008,vomito cronico
63725005,lesion de cornea
63750008,presentacion oblicua
63765009,anillo himeneal estrecho
63844009,albinismo oculocutaneo
63901009,dolor de testiculo
63943002,lesion traumatica superficial del parpado y/o de la region periocular
63948006,fractura expuesta del olecranon del cubito
63951004,miliaria
64009001,insuficiencia vertebrobasilar
64109004,condritis costal
64117007,hipovitaminosis B12 (no anemica)
64143008,ulcera en labio de boca
64144002,erupcion pruriginosa
64156001,tromboflebitis
64195000,variacion genetica
64206003,hipomenorrea
64226004,colitis
64228003,paralisis del diafragma
64254006,embarazo de trillizos
64269007,alucinacion visual
64298006,dedo en martillo de mano
64306000,fractura de apofisis espinosa vertebral
64309007,trastorno del nervio trigemino
64313000,procesos familiares interrumpidos
64366002,absceso corneal
64375000,laringotraqueitis aguda
64386003,abuso de sedante
64445006,sensibilidad al deslumbramiento aumentada
64455005,fractura bimaleolar de tobillo
64458007,contusion labial
64479007,neumonia causada por Klebsiella pneumoniae
64531003,secrecion nasal
64557000,trastorno de organo genital masculino
64576003,absceso gluteo
64586002,estenosis carotidea
64612002,infestacion por Tunga penetrans
64613007,inflamacion del intestino delgado
64634000,opacidad corneal
64662007,infarto pulmonar
64667001,neumonia intersticial
64715009,cardiopatia hipertensiva
64766004,colitis ulcerosa
64779008,trastorno de la coagulacion sanguinea
64859006,osteopenia
64902007,fractura no expuesta del olecranon del cubito
64905009,esquizofrenia paranoide
64917006,neumonia causada por el virus parainfluenza
64920003,"edad gestacional, 31 semanas"
64996003,metrorragia
65017003,neuropatia periferica hereditaria
65035007,"edad gestacional, 22 semanas"
65074000,iritis
65110003,piomiositis tropical
65124004,tumefaccion
65147003,embarazo gemelar
65172003,penfigo
65198009,trombosis arterial
65275009,colecistitis aguda
65323003,polimialgia reumatica
65339005,accidente relacionado con la actividad laboral
65362007,pie cavo varo adquirido
65363002,otitis media
65390006,perforacion intestinal perinatal
65399007,histiocitosis X
65404009,desequilibrio nutricional por defecto
65498003,aneurisma de la arteria mesenterica superior
65508009,granuloma anular
65547006,infarto agudo de miocardio de pared inferolateral
65553006,aspergilosis
65568007,fumador de cigarrillos
65576009,polipo de cervix uterino
65617004,enfermedad venoclusiva de higado
65619001,fistula rectovaginal
65636009,queratocono
65645005,prurito en escroto
65668001,otorrea
65683006,"edad gestacional, 17 semanas"
65710008,insuficiencia respiratoria aguda
65727000,embarazo intrauterino
65754002,dismenorrea primaria
65759007,traumatismo bucodental
65880007,agammaglobulinemia ligada a cromosoma x
65933003,hidroneumotorax
65958008,acido urico elevado
65959000,talasemia beta
65966004,fractura de antebrazo
65978000,lesion traumatica de la pared toracica
66071002,hepatitis viral tipo B
66123000,ulcera de la lengua
66139007,pseudopterigion
66255005,ereccion disminuida del pene
66266003,raquitismo fosfopenico
66308002,fractura de humero
66344007,depresion mayor recurrente
66347000,control de impulsos ineficaz
66379009,sindrome de sobrecrecimiento bacteriano
66381006,"trastorno de adaptacion, con alteracion mixta de las emociones Y la conducta"
66383009,gingivitis
66392007,bocio endotoracico
66452006,tenosinovitis estenosante
66517001,"fractura de cuerpo de la mandibula, no expuesta"
66556007,hemobilia
66569006,resto radicular
66590003,dependencia de alcohol
66598005,sindrome confusional
66612000,anemia nutricional
66631006,trastorno bipolar I depresivo moderado
66760008,neuritis optica
66779006,induracion de la mama
66790001,contaminacion del crecimiento bacteriano
66857006,expectoracion hemoptoica
66877004,flegmasia cerulea dolens
66889002,membrana esofagica terminal
66931009,hipercalcemia
66944004,tiroiditis autoinmune
66948001,paladar hendido con labio leporino
66958002,"isoinmunizacion por incompatibilidad por grupo de sangre no abo, no rh, que afecta el embarazo"
66962008,granuloma por sutura
66978005,hipermagnesemia
66999008,hiperparatiroidismo
67023009,linfocitosis
67148009,podagra
67195008,trastorno por estres agudo
67198005,taquicardia supraventricular paroxistica
67224007,triada de artritis reactiva
67233009,insomnio intermedio
67278007,estenosis congenita de la valvula pulmonar
67331009,rasgo de personalidad - hallazgo
67359005,preeclampsia sobreagregada a hipertension preexistente
67362008,aneurisma aortico
67374007,articulacion inestable
67394003,fractura de diafisis de perone
67406007,coagulacion intravascular diseminada
67422008,"fractura de primer hueso cuneiforme del tarso, no expuesta"
67438002,intoxicacion alcoholica aguda
67488005,alopecia traumatica
67531005,espina bifida
67569000,displasia broncopulmonar del recien nacido
67591007,inadaptacion escolar
67599009,congestion pulmonar
67600007,fistula biliovascular
67624004,absceso de la glandula de Bartolino
67678004,conjuntivitis atopica aguda
67696008,insuficiencia de válvula tricúspide reumática
67754003,esclerosis de valvula aortica
67766009,adherencias intestinales con obstruccion
67782005,sindrome de distres respiratorio agudo
67787004,anquiloglosia
67792002,fistula broncoesofagica adquirida
67801009,tenosinovitis
67853001,pólipo de la uretra
67878002,absceso de brazo
67882000,prurito de la vulva
67895005,queratoconjuntivitis flictenular
67905004,insuficiencia respiratoria cronica reagudizada
68019004,depresion mayor recurrente en remision
68033004,complicacion de traqueostomia
68052005,aspiracion pulmonar
68142008,contusion de la extremidad superior
68154008,tos cronica
68172002,trastorno de tendon
68225006,alopecia circunscripta
68226007,cistitis aguda
68235000,congestion nasal
68241007,glaucoma debido a lesión traumática de globo ocular y posterior a ella
68267002,hipertension intracraneal benigna
68272006,sinusitis maxilar aguda
68301001,fistula vesicorrectal
68345001,apraxia
68372009,obstruccion de vias aereas superiores
68409003,neumonia organizada
68451005,artritis gotosa cronica
68478007,oclusion de la vena retiniana central
68496003,polipo de colon
68504005,sindrome de ataxia-telangiectasia
68557006,talipes planovalgo
68566005,infeccion urinaria
68569003,trastorno bipolar I maniaco
68640004,ulcera vulvar
68650003,fractura de cinco costillas
68653001,dolor anal
68659002,blefaroconjuntivitis
68666001,fistula de vejiga
68670009,dermatitis por contacto de parpado
68815009,glomerulonefritis asociada con lupus eritematoso sistemico
68819003,fractura no expuesta de la apofisis coronoides del cubito
68854005,fractura no expuesta de cabeza de radio
68859000,espondilosis vertebral sin mielopatia
68890003,trastorno esquizoafectivo
68893001,contusion de nalga
68913001,talasemia alfa
68962001,algia muscular
69069001,prurito del pene
69080001,hiperglicinemia cetosica
69193009,caracter inflexible
69195002,discopatia cervical
69215007,intolerancia al calor
69260008,complicacion de dispositivo protesico interno
69322001,trastorno psicotico
69361009,cleptomania
69385001,hematoma de la vulva
69392006,"trastorno depresivo mayor, un solo episodio con sintomas catatonicos"
69408002,sindrome de Gorlin
69430001,absceso de la vulva
69434005,intoxicacion por antidepresivo triciclico
69482004,psicosis de Korsakoff
69494008,trastorno de trompa de Eustaquio
69559004,masa de estructura retroperitoneal
69588003,eritema migratorio cronico
69741000,hidrosadenitis
69776003,gastroenteritis aguda
69787006,contusion de dedo de la mano
69825009,quiste mucoso de glándula salival
69896004,artritis reumatoide
69916004,fractura de base de pulgar
69954004,tromboflebitis de la mama
70020005,faringoadenoiditis
70036007,neumonia por Haemophilus influenzae
70070008,contractura cervical
70076002,rinitis
70099003,enfermedad de stargardt
70129008,placenta acreta
70142008,comunicacion interauricular
70153002,sindrome hemorroidal
70176004,cuerpo extraño en el recto
70204006,fractura de quinto metatarsiano
70211005,infarto agudo de miocardio de pared anterolateral
70241007,carencia nutricional
70272006,hipertension arterial maligna
70273001,intoxicacion causada por paracetamol
70323002,fatiga ocular
70342003,colelitiasis sin obstruccion
70350007,mielopatia degenerativa
70405009,aneurisma de arteria esplenica
70407001,estridor
70449006,amaurosis
70466008,frote
70531008,molestia vulvovaginal
70545002,consumidor de estupefacientes
70582006,cicatriz de la piel
70611002,hemorragia intraventricular perinatal
70637004,celulitis de dedo del pie
70650003,calculo vesical
70691001,agorafobia
70694009,sindrome de Wolfram
70704007,esguince de carpo
70718000,ulcera vulvar aguda
70736000,osteocondritis
70759006,piodermitis
70912006,mastitis subaguda
70933002,aortitis
70995007,hipertension pulmonar
71057007,infeccion causada por Escherichia coli
71086005,leucoplasia de las cuerdas vocales
71110009,dilatacion pielocalicial
71111008,glaucoma de la niñez
71120004,infección bacteriana causada por serratia
71286001,mielopatia compresiva
71303008,dolor facial atipico
71315007,dispareunia
71325002,lipodistrofia
71355009,"edad gestacional, 30 semanas"
71392009,celulitis de muñeca
71393004,dolorimiento
71404003,lipomatosis dolorosa
71418005,quiste de la rinofaringe
71457002,disfagia orofaringea
71583005,gastroenteritis toxica
71591001,forúnculo de oreja
71620000,fisura de femur
71642004,fractura de craneo
71695001,complicacion de la terapia por ventilacion
71760005,neuralgia cervico - occipital
71772004,vasoespasmo
71792006,trastorno del ritmo nodal
71851009,volvulo gastrico
71884009,dolor precordial
71892000,asma cardial
71897006,estasis venoso
71906005,infeccion periungueal
71908006,fibrilacion ventricular
71932004,dilatacion cardiaca
71938000,hipercalciuria
71959007,mutismo electivo
71988008,sindrome de Aase
72000004,carencia de vitamina a
72007001,duodenitis
72011007,estenosis aortica reumatica
72042002,incontinencia fecal
72047008,epifisitis anterior de tibia
72077002,estado preoperatorio
72083004,sifilis tardia
72092001,vasculopatia arteriosclerotica
72100002,lentigo solar
72274001,trastorno de la raiz de nervio
72275000,policondritis recidivante
72284000,reaccion a una transfusion por reaccion de las proteinas del suero
72315009,miositis por cuerpos de inclusion
72325004,quiste de la glandula tiroides
72352009,valvula aortica bicuspide
72366004,trastorno de la conducta alimentaria
72431002,intoxicacion accidental
72544005,"edad gestacional, 25 semanas"
72552008,problema de alimentacion en el recien nacido
72605008,micosis vaginal
72627004,rechazo de injerto
72654001,arritmia supraventricular
72658003,miliaria rubra
72779005,fistula anal
72789009,pseudotumor orbitario inflamatorio
72836002,coma hepatico
72860003,trastorno de la cavidad y/o membrana amniótica
72866009,varices
72880002,enfermedad por el virus oropouche
72884006,cortocircuito vascular
72892002,embarazo normal
72900001,sindrome de poliposis intestinal
72925005,poliquistosis hepatica
72934000,candidiasis de la vagina
72960004,rabdomiolisis del ejercicio
72983001,compresion del nervio optico
73013002,trastorno de nervio craneal
73028002,endocarditis estafilocócica
73062002,adherencias de la vagina
73063007,dolor tipo colico
73067008,aneurisma aortico roto
73098005,urticaria colinergica
73105000,bursitis de pata de ganso
73120006,estenosis duodenal
73125001,empiema de la vesicular biliar
73132005,trastorno de glandula paratiroides
73147001,hernia inguinal directa
73173006,espasmo arterial cerebral
73181007,pterigion recidivante
73211009,diabetes mellitus
73244003,"fractura de cuello quirurgico del humero, no expuesta"
73297009,distrofia muscular
73305009,glomerulonefritis fibrilar
73320003,hemolisis
73391008,displasia de cervix
73397007,trombocitopenia inducida por heparina
73410007,hipertension arterial vasculorrenal secundaria benigna
73415002,trauma acustico
73430006,sindrome de apnea del sueño
73438004,parado
73442001,sindrome de Stevens-Johnson
73452002,absceso de pulmon
73583000,epicondilitis de humero
73589001,protrusion discal
73595000,estres
73659001,leucoplasia de la laringe
73660006,estenosis subaortica congenita
73725006,paquipleuritis
73749009,ictericia neonatal asociada con parto pretermino
73762008,conjuntivitis cronica
73774007,endocarditis infecciosa subaguda
73790007,amenaza de aborto en el primer trimestre
73795002,infarto agudo de miocardio de pared inferior
73817000,enteritis causada por radiación
73830004,cuerpo extraño en el pene
73861008,polipo duodenal
73862001,complicacion relacionada con cateter
73867007,depresion mayor grave con sintomas psicoticos
73877009,gota tofacea
73891003,anemia megaloblastica aguda causada por oxido nitroso
73893000,toxoplasmosis congenita
73917004,alucinosis
73998008,prolapso de los organos genitales femeninos
74021003,bloqueo bifascicular
74107003,acromegalia
74285003,masa pelvica
74323005,dolor en el codo
74333002,torticolis espasmodico
74345006,enfermedad cromosomica
74372003,gonorrea de la faringe
74390002,patron de Wolff-Parkinson-White
74395007,fractura expuesta de falange del pie
74400008,apendicitis
74450001,hipercloremia
74460005,deposito corneal
74474003,hemorragia digestiva
74506000,duelo por evento del ciclo vital
74576004,trombocitopenia adquirida
74578003,piodermia gangrenosa
74615001,taquicardia - bradicardia
74627003,complicacion debida a diabetes mellitus
74682007,lesion traumatica por aplastamiento de dedo de pie
74686005,trastorno bipolar I depresivo leve
74699008,cuerpo extraño en la nariz
74704000,dolor abdominal que se irradia hacia la espalda
74728003,insuficiencia hipofisaria
74732009,trastorno mental
74773005,sesamoiditis
74774004,urticaria a frigore
74776002,prurito ocular
74783009,estenosis del orificio lagrimal
74814004,contusion del pie
74882009,intoxicacion por fenitoina
74883004,aneurisma de aorta toracica sin ruptura
74895004,perforacion de la cornea
74934004,abstinencia de sustancia psicoactiva
74942003,hidatidosis
74944002,via uretral falsa
75023009,epilepsia postraumatica
75038005,hemorragia cerebelosa
75047002,trastorno de musculo esqueletico
75084000,depresion mayor grave sin sintomas psicoticos
75088002,necesidad imperiosa de orinar
75100008,absceso abdominal
75137002,luxacion traumatica no expuesta de articulacion de dedo de la mano
75148009,problema ocupacional
75150001,nefropatia en el embarazo Y/O puerperio sin hipertension
75183008,funcion hepatica anormal
75204008,infarto de epiplon
75229002,hifema
75236001,absceso anorrectal
75258004,intoxicacion por alimentos
75315001,uveitis simpatica
75331009,sindrome de Evans
75355004,atresia de conducto auditivo externo
75375008,enteritis bacteriana
75398000,origen anomalo de la arteria coronaria
75408008,animo enojado
75441006,cuerpo extraño en el oido
75468006,artropatia de la rodilla y/o del pie inducida por cristales
75478009,toxicidad
75483001,respiracion dolorosa
75504007,"lesion traumatica superficial de dedo de la mano, sin infeccion"
75543006,embolia cerebral
75544000,dependencia de tipo opioide
75547007,estenosis de laringe
75549005,infeccion causada por Pneumocystis jiroveci
75570004,neumonia viral
75591007,fisura de perone
75614007,panuveitis
75630004,alteracion de articulacion temporomandibular
75680005,tendinitis del psoas
75694006,pancreatitis
75702008,brucelosis
75739009,distrofia nodular de salzmann
75789001,onicolisis
75803007,rinorrea posnasal
75817003,celulitis de mama
75857000,fractura de radio y cubito
75878002,aneurisma de aorta abdominal sin ruptura
75934005,enfermedad metabolica
75955007,trombosis de hemorroides
75971007,neovascularizacion de coroides y retina
75984003,quemadura de la pared del tórax
75993002,atrofia vulvovaginal
76035004,absceso de la region pectoral
76039005,trastorno de la atencion
76046001,ulcera del pene
76069003,enfermedad de hueso
76105009,ciclotimia
76107001,estenosis de conducto espinal
76114004,funcion renal disminuida
76126009,absceso de parpado
76129002,sindrome de ganser
76172008,infeccion causada por Taenia
76201007,ptosis mecanica
76272004,sifilis
76281005,congestion hepatica
76318008,trastorno de tendon de region de hombro
76349003,enfermedad extrapiramidal
76369008,rasgo de personalidad inadaptada
76407009,enfermedad por deficiencia de proteina c
76437000,contusion del pulgar
76498008,estado postmenopausico
76571007,shock septicemico
76581006,colecistitis
76593002,infarto agudo de miocardio de pared inferoposterior
76612001,estado de hipercoagulabilidad
76616003,trastorno de ganglio linfatico
76618002,estrechez uretral
76641005,prolapso de intestino
76642003,deficiencia de factor x
76742009,hemorragia postmenopausica
76783007,hepatitis cronica
76795007,hepatitis B aguda
76807004,cervicobraquialgia
76844004,infeccion de herida
76886005,polineuritis
76976005,atrofia de nervio optico
77054009,celulitis de muslo
77075001,glaucoma cronico simple
77090002,penfigoide ampollar
77091003,desnutricion de grado moderado
77097004,distrofia muscular oculofaringea
77098009,seudohipoaldosteronismo
77157004,trastorno del nervio optico
77182004,glomerulonefritis membranosa
77252004,pitiriasis rosada
77278008,inserción velamentosa del cordón umbilical
77287004,cociente intelectual limite
77377001,leptospirosis
77386006,paciente embarazada
77489003,pterigion
77493009,fractura de pelvis
77506005,infeccion causada por Trypanosoma cruzi
77507001,perdida de la audicion conductiva y neurosensorial combinadas
77528005,colelitiasis con obstruccion
77547008,degeneracion de disco intervertebral
77600008,sindrome de Bing - Neel
77628002,vasculitis retiniana
77659000,neuropatia paraneoplasica
77674003,hemianopsia
77675002,"anorexia nerviosa, tipo restrictivo"
77676001,prolapso del iris
77692006,hipersomnia
77721001,intoxicacion por opiaceos
77803008,"fractura de diafisis del perone, no expuesta"
77830003,quemadura epidérmica de múltiples sitios
77880009,dolor rectal
77892009,trombosis venosa pulmonar
77945009,quiste renal simple
77956009,sindrome de distrofia miotonica de Steinert
77957000,fiebre intermitente
77971008,iridociclitis
77978002,vena cava superior izquierda persistente
78004001,bulimia nerviosa
78011002,torax inestable
78048006,candidiasis
78129009,purpura trombocitopenica trombotica
78141002,paralisis de Erb - Duchenne
78144005,hemorragia pulmonar
78164000,problemas de alimentacion
78267003,abuso de cocaina
78275009,SAOS
78292000,fractura de diafisis de hueso metacarpiano
78314001,osteogenesis imperfecta
78370002,escleritis
78395001,"edad gestacional, 33 semanas"
78420004,enteritis viral
78435003,ganglion de articulacion
78456001,ciclo menstrual normal
78490005,fractura expuesta del extremo proximal del cubito
78514002,meralgia
78516000,fractura de esternon
78561001,"ampolla del pie, con infeccion"
78590007,mal de altura
78609007,derrame peritoneal cronico
78622004,galactorrea no asociada con el nacimiento
78623009,endometritis
78648007,con mayor riesgo de infeccion
78667006,distimia
78712000,colitis ulcerosa cronica moderada
78737005,sinusitis frontal
78768009,hematoma subconjuntival
78809005,polipo gastrico
78812008,deshidratacion neonatal
78868004,otitis media crónica mucoide
78875003,catarata senil cortical
78974003,dilatación del esófago
79017007,pupila deformada
79040006,quiste esplenico
79168008,genu varo congenito
79216009,absceso inguinal
79231000,hidrotorax
79268002,sindrome POEMS
79290002,embarazo cervical
79298009,"depresion mayor leve, un solo episodio"
79342006,ectopia cervical
79369007,complicacion del pancreas trasplantado
79410001,catarata congenita
79411002,prostatitis aguda
79468000,penfigo cronico benigno familiar
79471008,sordera subita
79499004,despersonalizacion
79520009,monoparesia
79546008,"fractura de tres costillas, no expuesta"
79586000,embarazo tubarico
79604008,trastorno de la mama
79619009,estenosis de la valvula mitral
79631006,crisis de ausencia
79668009,vasa previa
79671001,sindrome de la vena cava inferior
79688008,obstruccion de la via aerea
79720007,hepatopatia cronica no alcoholica
79740000,candidiasis de la boca
79807003,pie valgo
79883001,quiste de ovario
79890006,perdida de la audicion del oido izquierdo
79893008,vesicula en piel
79915001,fatigabilidad
79922009,epigastralgia
79955004,cor pulmonale cronico
79962008,espasmo difuso del esofago
