prov_ref,prov_descr
8032C,colonoscopia mii cribratge
8034,capsula endoscopica | capsula endoscopica
8034BIO,capsula biodegradable
8040,colocacion balon gastrico | col*locacio balo intragastric
8041,retirada balo intragastric
8050,papil*lotomia + extraccio calculs
8051,altres endosc. (extraccio calculs)
8052A,esfinterotomia/papilotomia
8052B,altres endosc. (papilotomia)
8053,col*locacio protesi biliar/intest. no inclou protesi | altres endosc. (col*locacio protesi biliar)
8054,h2 fructosa
8055,h2 sorbitol
8056,enteroscopia | enteroscopia
8060,aferesi crhon
8060A,polipectomia compleja alta | polipectomia complexa alta
8060B,polipectomia compleja colonica | polipectomia complexa colonica
8061,ablacio esofag barret
8062,tatuaje | tatuatge
8070,biopsia gastrica | biopsia gastrica
8071,polipectomia gastrica | polipectomia gastrica
8072,retinografia endocrino
8100,eco endoanal | eco-endoscopia (eco endoanal i endorectal)
8102,ecografia carotida | ecografia carotidia
8103,ecografia tiroidal
8104,ecografia tiroidea con paaf | ecografia tiroidal amb paaf
8110,paracentesi evacuadora
8200,1a visita infermeria cribatge ccr
8201,visita successiva inferm. cribatge ccr
8501,interconsulta maternofetal hosp | interconsulta obstetricia hosp
8510,interc. mal. autoimm. sist. marcadors autoimmunitat hosp.
8511,interc. pal*liatius no oncologics hosp
8515,interc. cirurgia maxil*lofacial hosp
8516,interconsulta critics  ict
8540,procediment invasiu uci
8547,cateterismo venas suprahepaticas | cateterisme venes suprahepatiques
8548,cateterisme cardiac dret
8549,col.locacio via central | colocacio via central
8550,biopsia hepatica transvenosa | biopsia hepatica transvenosa
8553,varipress
8554,cateterisme portal percutani
8560,elastografia hepatica | elastografia hepatica
8574,avaluacio resposta tractament farmacologic
8577,embolitzacio colaterals (coils)
8581,revision tips / shunt quirurgico | revisio tips / shunt quirurgic
8582,angioplastia + col.locacio de protesi no inclou la protesi | angioplasia + protesi
8587,shunts por t-y + colocacio protesi (tips) no inclou la protesi | tips
8593,angioplastia | angioplasia
8599,catet. pressions cardio-pulm
8600,interc. hemoterapia i hemostasia hosp
8601,interc. radiologia musc esqueletico | interc. mamos 2o opinion
8606,capilaroscopia
8607,interconsulta cirurgia plastica hosp | interc. cirurgia plastica hosp
8608,interc cirurgia plastica comp hosp | interc. cirurgia plastica comp hosp
8609,interc. cirurgia plastica seguim. hosp
8610,interc. cirurgia hosp
8611,interc. dermatologia hosp
8612,interconsulta dietetica hosp | interc. dietetica hosp |  interc. dietetica hosp
8613,interconsulta endocrino hosp | interc. endocri hosp
8614,interc. maxil*lofacial cirurgia oral | interc. estomatologia hosp
8615,interc. medicina interna hosp. | interc. medicina hosp
8616,interconsulta oftalmologia ingresados | interc. oftalmologia fons d ull hosp | interc. oftalmologia ingresats
8617,interc. oftalmologia consulta externa | interc. oftalmologia campimetria
8618,interc. orl hosp
8619,interc. orl-traqueo hosp
8620,interc. educacion diabetologica
8621,interc. podologia hosp
8622,interonsulta rehabilitacion hosp | interc. rehabilitacio hosp
8623,interc. reumatologia hosp
8624,interc. cir. ortop y trauma. hosp | interc. traumatologia hosp | interc. cir. ortop i trauma. hosp.
8625,interc. ginecologia hosp
8626,interconsulta drenaje pleural
8627,interonsulta infecciones  hosp | interc. infeccions hosp | interc. infeccions  hosp.
8628,interc. malalties autoinmunes hosp | interc. malalties autoinmunes sistemiques hosp
8629,interc. cardiologia hosp
8630,interc. cirurgia cardiovascular hosp
8631, interc. gastroenterologia hosp | interc. gastroenterologia hosp
8632,interc. patologia biliopancreatica hosp
8633,interc.cirurgia colo-rectal hosp
8634,interc. traspl.hepatic hosp | interc. cirurgia hepatica i trasplantament hosp
8635,interc. lesions peptiques hosp
8636,interc. tumors primaris fetge hosp
8637,interc. hematologia hosp
8638,interc. oncologia hosp
8639,interc. radioterapia hosp
8640,interc. neurocirurgia hosp
8641,interc. test infusio (nrc) hosp
8642,interonsulta neurologia hosp | interc. neurologia hosp
8643,interconsultas dialisis hosp | interconsultas dialisi hosp
8644,interconsultas nefrologia hosp
8645,interc. urologia hosp
8646,interc. utr hosp
8647,interc. cir.toracica hosp
8648,interc. pneumologia hosp
8649,interc. ventilacion mecanica no invasiva (nmo)
8651,interc. psiquiatria hosp
8652,interc. psicologia hosp
8653,interc. addiccions hosp. | interc. alcohologia
8654,interc. ufiss hosp | interc. ufiss
8655,interc. cir. digestiva hosp | interc. cir. digestiva  hosp
8656,interc. hepatologia hosp
8657,h2 lactosa
8658,h2 lactulosa
8660,interc. anestesia hosp
8661,interc. de hemoterapia y hemostasia hosp
8662,portografia retrograda co2
8663,prova d estimulacio
8666,fibrogastroscopia+helicobacter pylory (clot)
8668,interonsulta nutricion parenteral |  interc. nutricio parenteral
8669,interonsulta nutricion enteral |  interc. nutricio enteral
8670,interc. medicina tropical hosp
8671,interconsultas infecciones nosocomialeshosp | interc. infeccions nosocomials hosp
8672,interc. toxicologia hosp.
8673,interc. infeccions cardiovasculars hosp
8674,"interc. infeccions  traspl. ronyo, fetge, i cor hosp."
8675,interc. infeccions malalts vih positiushosp
8676,interc. anest. dolor hospitalari
8677,deriv. h convalescencia
8678,deriv. h larga estada
8679,deriv. h curas paliativas
8680,interc. suport pacient pal*liatiu hosp
8681,interconsulta vascular hosp.
8682,interc. unitat hta
8683,deriv. h paliativos larga estada
8690,interconsulta al*lergologia hosp.
8700,sessio rehab.hospitalaria | sesion rehab.hospital
8701,interc. cardiologia a urgencies
8702,interc. cir. cardiovascular a urgencies
8703,interc. urologia a urgencies
8705,interc. cir. digestiva  a urgencies
8707,interc. cirurgia a urgencies
8709,interc. gastroenterologia a urgencies
8711,interc. hepatologia a urgencies
8712,interc. infeccions a urgencies
8713,interc. nefrologia a urgencies
8714,interc. neurocirurgia a urgencies
8715,interc. neurologia a urgencies
8716,interc. orl-traqueo a urgencies
8718,interc. traumatologia a urgencies
8722, interc. traspl.hepatic a urgencies | interc. cirurgia hepatica i trasplantament urgencies
8723,interc. patologia biliopancreatica urgencies
8724,interconsulta rmt des d urgencies
8728,interc. medicina tropical a urgencies
8729,interc.  ingres des d urgencies
8730,interc. farmacologia clinica a urgencies
8731,interc. medicina preventiva a urgencies
8750,interc. hosp. dom. infecc.
8751,interconsulta nefrologia intensius
8752,interc. neonatologia hosp.
8760,primera teleconsulta
8760E,activitat asincronica medica inicial rae
8760EC,activitat asincronica medica inicial rae de cribatge
8761,successiva teleconsulta
8770,primera teleulceras
8772,interc. ipa onco digestiu hosp
8777,interc. ipa suport pal.liatiu  hosp
8778,interc. ipa trasplantament hemato hosp
8779,interc. ipa eti hosp
8780,interc. ipa hosp accesos vasculars de dialisis
8781,interconsulta ipa hosp uro-onco/estomesurologia.
8782,interc. ipa hosp dialisis peritoneal
8783,interc. ipa hosp trasplante renal
8785,interc. infermera ipa vih
8787,interc. infermera ipa eaiag
8788,interc. infermera ipa hta
8790,interc. ipa psi hosp
8792,interc. inf. risc cardiovascular
8794,interc. inf. ccr. estomaterapeuta
8795,interc. inf. ccr. prevencio alt risc
8796,interc. inf. malaltia inflamatoria intestinal
8797,interc. inf. hepatitis virica
8798,interc. inf. malaltia hepatica cronica
8799,interc. inf. oncologia hepatica
8800,visita pao (prescrip.ambul.ortoprotesica)
8801,interc. inf. post-trasplant hepatic
8802,interc. inf. pre-trasplant hepatic
8805,interc. ipa inf dolor
8806,interc. nnt hosp neurodesenvolupament
8810,interc. ipa iccv ic i tx
8811,interc. ipa iccv mcp dais
8812,interc. ipa iccv prova esforc
8813,interc. ipa sol pelvic hosp
8814,interc. ipa pediatria hosp
8815,interc. ipa perinatal hosp
8816,interc. ipa nmo hipertensio pulmonar
8817,interc. ipa nmo cpap vmni
8818,interc. ipa cdi
8819,interc. ipa avaluadora en hosp a domicili
8820,interc. valoracio hospital de dia a domicili
8824,interc. utat. atenc. domic. icmho hosp
8825,interc. inf. descompensacio diabetes tipus 1
8826,interc. inf. pancreatectomitzats
8827,interc. inf. debut diabetes tipus 1
8828,interc. ipa hosp malaltia renal cronicaavancada
8829,interc. hosp. dolor postoperatori
8830,interc. preanestesia hospitalaria
8831,interc. preanestesia hospitalaria obst.
8832,interc. ipa en atencio perinatal i lactancia
8833,interc. valoracio hdom
8834,interc. inf. ntop hosp.
8835,interc. ipa ferides hosp
8836,interc. hosp. inferm. hemostasia
8837,interc. ipa vascular hosp
8838,interc. hosp. inf. domiciliaria icmho
8839,interc. ipa iccv cures pre i post cir. cardiaca
8840,interc. critics icmdim
8841,interc. ipa iccv angio ambulatoria
8842,interc. ipa estomes traqueals
8843,interc. hosp. inf enllac pac. urologic
8844,interc. critics mdi
8846,interc. hosp. inf. hdom nnt
8847,interc. hospitalaria ipa linfoma
90,registro polisomnograf. orda
90000,prestacio citada
9102,plasma fresco congelado | plasma fresc congelat (1 unitat de 220 ml.) | plasma fresc congelat
9200,rx torax simple | rx torax simple
9200A,rx torax lateral d estern | rx torax lateral esternon
9200B,parrilla costal
9200C,radioescopia de torax
9201,rx torax pa l | torax ap l | rx torax pa l
9201A,rx torax oblicua hemitorax | rx torax obliqua hemitorax
9201B,rx torax proyecciones especiales decubito lordotica espiracion
9201C,rx torax preop (solo si no dispone de rx torax o tc torax en el ultimo ano) | rx torax preop (solo si no dispone de rx torax o tc torax en el ultimo ano)
9210,rx abdomen simple
9210A,rx renovesical simple
9210B,rx control nefrostomia
9210C,rx abdomen (bipedestacion o decubito lateral) | rx abdomen  (bipedestacion o  decubito lateral)
9220,rx craneo simple frente | rx crani simple | rx craneo simple frente
9220A,rx craneo simple lateral | rx craneo simple lateral
9220B,rx ossos propis del nas
9220C,fetal exitus
9221,teleradiografia de craneo | rx teleradi crani | teleradiografia de craneo
9222,rx rinosinusal (waters) | rx rinosinusal
9222A,rx naso-mento
9223,rx articulacio temporo mandibular
9223A,axiolateral de ambas atm boca abierta yboca cerrada
9223B,axiolateral atm  boca cerrada
9223C,axiolateral atm boca abierta
9224,rx crani tecniques especials
9224B,rx cuello partes blandas/cavum
9230,rx locomotor 1
9230AA,rx femur | rx femur simple
9230AB,rx rodilla | rx genoll simple | rx genoll
9230AC,rx genoll obliqua
9230AD,rx genoll fossa intercondilar
9230AE,rx genoll tangencial
9230AF,rx tibia/perone | rx tibia/peronesimple
9230AG,rx tormell | rx tormell simple
9230AH,rx tormell obliqua
9230AI,rx test de skiner | test skiner
9230AJ,rx peu | rx peu simple
9230AK,rx calcani
9230AN,rx peu obliqua
9230AO,rx sesamoide
9230AP,rx dits peu
9230AQ,rx costelles | rx costelles simple
9230AR,rx avantpeu
9230AT,rx lateral en y de escapula | rx l o y de escapula
9230AU,rx espai subacromial | rx inclinado ap (e.subacromial)
9230AV,rx cadera | rx maluc simple | rx maluc
9230AW,rx ap protesi maluc
9230AX,rx mano edad osea | canell edat ossia
9230B,rx pelvis ap
9230C,rx pelvis alar i obturadora
9230D,rx fals perfil de lequesne
9230E,rx simfisi pubica ap
9230F,rx clavicula | rx clavicula simple
9230G,rx espatlla ap (os)
9230H,rx espatlla ap (parts toves)
9230I,rx espatlla axial-transaxial
9230J,rx espatlla articulacions acromio-claviculars
9230K,rx espatlla forcada acromio-clavicular
9230M,rx humer | rx humer simple
9230N,rx humer lateral transtoracica
9230O,rx colze | rx colze simple
9230P,rx colze obliqua
9230Q,rx colze supinaciopronacio | rx colze supinacio/pronacio
9230R,rx avantbrac | rx avantbrac simple
9230S,rx canell | rx canell simple
9230T,rx canell sneck-escafoide
9230U,rx canell axial tunel carpia
9230V,rx ma | rx ma simple
9230W,rx ma pa obliqua vanol
9230X,rx ma focada 1er metacarpi-falangica
9230Y,rx dits ma | rx dits ma simple
9230Z,rx maluc calcul protesi
9231,rx locomotor 2
9231B,rx esterno-clavicular bil*lateral
9231C,rx maluc test de pauwels
9232,rx locomotor 3
9232A,rx meary tormell
9233,rx locomotor 4 exploracions
9234,rx columna 1 exploracio
9234A,rx vertebres cervicals
9234B,rx vertebres cervicals (transoral odontoide)
9234C,rx vertebres cervicals obliques
9234D,rx vertebres cervicals funcionals (flexion y extension) | rx vertebres cervicals laterals funcionals
9234E,rx vertebres dorsals | rx vertebres dorsals simple
9234F,rx vertebres dorsals obliques
9234G,rx vertebres lumbars | rx vertebres lumbars simple
9234H,rx vertebres lumbars obliques | rx vertebres lumbars ap obliqua
9234I,rx vertebres lumbars lateral centrada l5-s1
9234J,rx sacre simple
9234K,rx articulacio sacroiliaca | rx vertebres cervicals simple
9235,rx columna 2 exploracions
9235A,rx vertebras lumbares laterales funcionales | rx vertebres lumbars laterals funcionals
9236,rx columna 3 exploracions
9237,rx desfilader femoro-patelar
9238,rx articulacions forcades
9238A,articulacions forcades d extremitat inferior | articulacions forcades extremitat inferior
9239,rx telemetria col*lumna | rx telemetria col*lumna
9239A,rx test de bending | test de bending
9240,rx telemetria extremidades inferiores | rx telemetria extremitats inferiors
9241,rx serie esqueletica | serie esquel*letica | rx serie esquel*letica
9260,tomografia
9261,malucs especials
9300,rx esofagograma | esofagograma
9301,rx esofago-gastro-duodenal | esofago-gastro-duodenal | rx esofago-gastro-duodenal
9302,rx enema opaca | enema opaca
9302B,enema opaca por colostomia
9302C,enema por ileostomia | enema por ileostomia
9303,rx enteroclisi | enteroclisi
9304,rx transito intestinal | transit intestinal | rx transito intestinal
9304A,tiempo de transito colonico con marcadores | tiempo transito colonico con marcadores
9305,estudio deglucion | video-deglucio abdomen simple | estudio deglucion
9306,defecografia | video-defecografia | defecografia
9307,rx colangiografia transkher | colangiografia transkher
9309, sialografia | sialografia
9320,rx histerosalpingografia (hsg) | histerosalpingografia | rx histerosalpingografia (hsg)
9321,pielo+cisto funcional | pielo-cisto funcional
9321A,pielografia por cateter | pielografia por cateter
9322,cistografia cums | cistografia/cums | cistografia cums
9322A,cistografia | cistografia
9322B,cistografia suprapubica
9323,uretro retrograda | uretro retrograda barcelona
9323A,uretrografia retrograda mas cums | uretrografia retrograda mas cums
9324,urografia intravenosa
9325,fistulografia
9326,drenatges abdominals amb al
9327,cistograf/uretrograf retrog/cistouretrog
9328,dilatacio uretral amb cateter balo udu
9329,drenajes prostaticos | drenatges prostatics
9330,fiducials sense tci
9331,fiducials amb tci
9332,biopsia transrectal extraurologica | biopsia transrectal extraurologica
9334,exeresi condilomes uretrals amb sedacio
9335,cervicotomia
9336,uretrotomia
9340,rx puncio transtoracica | puncio transtoracica
9342,mielografia
9343,dacriocistografia
9344,rx fistulografia | fistulografia
9360,rx portatil torax | rx  portatil  torax
9361,rx portatil abdomen | rx  portatil  abdomen
9362,rx portatil locomotor 1 | rx  portatil  locomotor 1
9362A,rx portatil vertebres cervicals
9362B,rx portatil pelvis | rx  portatil pelvis
9362C,rx portatil cadera | rx  portatil maluc
9362D,rx portatil protesis de cadera | rx  portatil protesi de maluc
9362E,rx  portatil pelvis alar i obturadora
9362F,rx  portatil simfisi pubica
9362G,rx  portatil espatlla ap
9362H,rx  portatil articulacions acromioclaviculars
9362I,rx  portatil clavicula
9362J,rx  portatil humer
9362K,rx  portatil colze | 30  portatil colze
9362L,rx  portatil avantbrac
9362M,rx  portatil canell
9362N,rx  portatil ma
9362O,rx portatil femur | rx  portatil femur
9362P,rx portatil rodilla | rx  portatil genoll
9362Q,rx  portatil tibia/perone
9362R,rx portatil tobillo | rx  portatil tormell
9362S,rx  portatil peu
9363,rx  portatil  locomotor 2
936346,"bolsa recolectora, envuelta en crep"
9364,rx  portatil  locomotor 3
9365,rx  portatil  locomotor 4
9368,tecnico cdi quirofano | rx quirofan escopia modul 60  | tecnico cdi quirofano
9369,rx quirofano escopia modulo 30  | rx quirofan escopia modul 30 
9370,rx quirofan escopia modul 15 
9371,rx plques quirof | rx quirofan fotos/plaques
9372,copies plaques
9373,modul escopia 15 
9373A,infiltracio articular escopia extremitat inferior
9373C,rx biopsia ossia escopia | biopsia ossia escopia
9373D,rx drenatge escopia | drenatge escopia
9373E,rx infiltracio articular extremitat superior | infiltracio articular escopia extremitat superior
9374,rx portatil crani | crani
9400,eco basal (abdomen) | ecografia basal (abdomen)
9401,eco toracica | ecografia toracica
9401A,ecografia con toracocentesis | ecografia con toracocentesis
9401B,ecografia con puncion biopsia pleural
9401C,ecografia toracica con puncion
9402,ecografia  medicina nuclear | ecografia tiroide/cervical
9402A,"eco paaf tiroides, gl. salivares y supraclavicular | eco paaf tiroides,  gl. salivares y supraclavicular"
9402B,"eco cervical, tiroides, gl. salivares yadenopatias | eco cervical , tiroides , gl. salivares y adenopatias"
9402C,eco ablacion percutanea
9403,eco reno-vesical | ecografia reno-vesico prostatica
9403A,ecografia renovesicoprostatica | ecografia renovesicoprostatica
9403B,ecografia abdominal (gu) | ecografia abdominal (gu)
9403C,eco doppler trasplante renal
9403D,ecografia guiada con puncion aspirativa | ecografia gu con puncion aspirativa
9403E,ecografia drenaje percutaneo renal | ecografia drenaje percutaneo renal
9403F,ecografia reno vesical con contraste | ecografia reno vesical con contraste
9403G,ecografia abdominal mas arterias renales
9403H,radiofrecuencia renal
9403J,ecografia doppler peneana | ecografia doppler peneana
9403K,ecografia doppler trasplante renal mas abdominal | eco doppler trasplante renal mas abdominal
9403L,ecografia fusion gu
9404,eco muscul-tendinos | ecografia muscul-tendinos
9404A,eco malucs pediatrica
9405,eco mamaria | ecografia mamaria
9406,eco transfontanelar pediatrica
9406A,ecografia transfontanelar urgente (presencial)
9406B,ecografia columna | ecografia columna
9406C,ecografia portatil (neuro)
9408,eco testicular | ecografia testicular
9409,ecografia valoracion arterioclerosis | ecografia valorac arterioclerosi | ecografia valoracion arterioclerosis
9410,ecografia abdominal y doppler | ecografia doppler abdominal | ecografia abdominal y doppler
9410A,ecografia doppler  seguimiento tips
9410B,ecografia doppler trasplante hepatico | ecografia doppler trasplante  hepatico
9410C,ecografia doppler trasplante  pancreatico
9410D,ecografia doppler trasplante renopancreatico
9410E,ecografia abdominal con contraste | ecografia abdominal con contraste
9410F,ecografia doppler endoprotesis aortica con contraste | ecografia doppler endoprotesis aorta con contraste
9410G,ecografia doppler trasplant renopancreatico con contraste
9410H,ecografia doppler trasplante hepatico con contraste | ecografia doppler trasplante  hepatico con contraste
9410I,ecografia doppler trasplante  pancreatico con contrast
9410J,ecografia fusion abdominal | ecografia fusion abdominal
9410K,ecografia doppler y elastografia de higado
9411,ecografia troncos supraaorticos | ecografia doppler carotideo
9412,eco doppler venoso extremidades | ecografia doppler venos ext
9412A,ecografia doppler insuficiencia venosa | ecografia doppler  insuficiencia venosa
9413,eco doppler arterial extremidades | ecografia doppler arterial ext
9413A,ecografia doppler  arterias perforantes pared abdominal
9413B,ecografia doppler arterias perforantes extremidades inferiores | ecografia doppler  arterias perforantesextremitades inferiores
9413D,ecografia doppler accesos vaculares dialisis | ecografia doppler  accesos vaculares dialisis
9414,eco doppler arteria renal | ecografia doppler arteria renal
9414C,ecografia doppler valoracion colocacionaccesos vasculares dialisis
9415,eco doppler con biopsia | ecografia doppler amb biopsia
9415A,eco doppler con biopsia de parenquima hepatico | ecografia doppler amb biopsia hepatica | eco doppler con biopsia de parenquima hepatico
9415B,eco doppler con biopsia trasplante pancreatico | ecografia doppler amb biopsia renal
9416,eco con puncion aspirativa de lesion focal hepatica | ecografia doppler puncio asp
9416A,ecografia doppler con puncion aspirativa hepatica | ecografia  doppler con puncion aspirativa hepatica
9416B,ecografia  doppler con puncion aspirativa hepatica trucut contraste
9417,eco con biopsia de lesion focal hepatica | ecografia biopsia hepatica
9418,eco biopsia renal | ecografia biopsia renal
9419,eco puncion aspirativa | ecografia puncio aspirativa | eco puncio aspirativa
9419A,eco con biopsia de lesion abdominal (nohepatica)
9419B,biopsia de parenquima hepatico (estancia corta)
9419C,ecografia intestinal
9420,ecografia con puncion portal | ecografia amb puncio portal | ecografia con puncio portal
9420A,injeccio ecoguiada intratumoral (abdomen)
9422,eco cauterizacion de tumores hepaticos | ecografia cauterit tumors hep | eco cauteritzacion de tumores hepaticos
9422A,ecografia con cauterizacion de tumores hepaticos con contraste | ecografia con cauteritzacion de tumoreshepaticos con contraste
9423,ecografia  con alcoholizacion | ecografia amb alcoholitzacio
9423A,ecografia con alcoholitzacion con contrast
9424,ecografia con drenaje | ecografia amb drenatge | ecografia con  drenaje
9424A,ecografia con drenaje de la bufeta biliar (colecistostomia) | ecografia con drenaje de la  bufeta biliar  (colecistostomia)
9425,nefrostomia percutanea por ecografia/fluoro | ecografia amb nefrostomia
9426,ecografia peroperatoria
9427,guia ecografiaca  colocacion tips | ecografia col.locacio tips
9428,ecografia doppler y elastografia de higado y de bazo | ecografia hidrocolonica
9429,eco disfuncio endoterial | ecografia disfuncio endoterial
9430,contraste ecografico | contrast ecografic
9432, puncion biliar con control ecografico
9434,eco biopsia lesio focal cirrosi (estadacurta)
9435,ecografia territorios ganglionares | ecografia  territorios  ganglionares
9435A,ecografia estudio  melanoma (cutanea/subcutanea)
9435C,ecografia estudio melanoma (cutanea subcutanea) puncion aspirativa | ecografia estudio melanoma (cutanea subcutanea)  puncion aspirativa
9435D,ecografia estudio  ganglionar contraste
9435E,ecografia ganglionar  puncion aspirativa
9435F,ecografia ganglionar con contraste puncion aspirativa | ecografia ganglionar con contraste  puncion aspirativa
9435G,ecografia portatil (abdomen) | ecografia portatil (abdomen)
9435H,ecografia intraoperatoria (abdomen) | ecografia intraoperatoria (abdomen)
9435W,ecografia doppler venos extremitats bilateral (tromboembolismo pulmonar)
9435Y,compresion pseudoaneurismo con control ecografico
9435Z,estudio de la funcio endotelial
9436,"eco biopsia cervical,tiroides, gl salivares y supraclavicular"
9437,ecografia valoracio preablacio
9438,col*locacio de marcador fiducial
9469,mamografia de cribado/screening 2p | mamografia de cribado/screening 2p
9470,mamografia diagnostica bilateral | mamografia gin | mamografia diagnostica bilateral
9470A,proyecciones mamograficas complementarias | proyecciones mamograficas complementarias
9470B,mamografia unilateral | mamografia unilateral
9470C,estudio de especimen quirurgico / biopsia percutanea | estudio de especimen quirurgico/biopsiapercutanea
9471,puncion vaciado quiste | pneumoquistografia
9472,pneumooncografia
9473,puncio citologica
9474,galactografia
9475,mamografia localizada pre-post quirurgia | mamo.local.pre-post quirur. | mamografia localitzada pre-post quirurgica
9476,puncio biopsia per esterotaxia
9477,localizacion prequirurgica guiada por rx semillas | localizaci0n prequirurgica guiada por rx semillas
9477A,localizacion prequirurgica guiada por rx arpon
9477B,localizacion prequirurgica guiada por eco semillas
9477C,localizaci0n prequirurgica guiada por eco arpon
9477D,paaf (puncion aspiracion con aguja fina) lesion palpable
9477E,paaf (puncion aspiracion con aguja fina) por estereotaxia
9477F,paaf (puncion aspiracion con aguja fina) por ecografia | paaf (puncion aspiracion con aguja fina) por ecografia
9477G,bag (biopsia con aguja gruesa) lesion palpable
9477H,bag (biopsia con aguja gruesa) por estereotaxia
9477I,bag (biopsia con aguja gruesa) ecografia | bag (biopsia con aguja gruesa) ecografia
9477J,bav guiada por estereotaxia
9477K,bav guiada ecografia
9477L,biopsia escisional percutanea
9477M,marcadores
9477N,inyeccion ganglio centinela roll guiadapor estereotaxia
9477O,inyeccion ganglio centinela roll guiadapor ecografia
9477P,marcaje con semillas radioactivas | marcatge amb llavors radioactives
9478,ecografia doppler de mama
9478A,ecografia axila estadificacion | ecografia axila estadificacion
9478B,eco second look
9478C,injeccio ecoguiada intratumoral (mama)
9479,puncio biopsia per ecografia
9481,mamografia con contraste | mamografia con contraste
9500,rm neuro s/contrast
9500A,rm cerebral
9500B,rm base craneo | rm base crani
9500C,rm oido | rm oida
9500D,rm hipofisis (microadenoma) | rm hipofisi | rm hipofisis (microadenoma)
9500E,rm orbitaria | rm orbitari
9500F,rm senos paranasales | rm sinus paranasals
9500G,rm maxilofacial | rm maxil.lofacial
9500H,rm artic. temporo-mandibulares | rm artic.temporo-mandibular
9500I,rm cavun/faringe
9500J,rm laringe
9500K,rm cuello | rm parts toves coll
9500L,rm columna cervical
9500M,rm columna dorsal
9500N,rm columna lumbar
9500O,rm funcional encefalica | rm funcional
9500P,rm neuronavegador
9500Q,rm cerebral 3t estimulacion | rm cerebral 3t estimulacio
9500R,"rm craneal proceso ocupante de espacio (meningioma,..)"
9500S, rm craneal  (estudio de extension)
9500T,rm craneal sospecha infeccion | rm craneal sospecha infeccion
9500V,rm hipofisis (macroadenoma) | rm hipofisis (macroadenoma)
9501,rm intestinal
9502,rm neuro doble s/contrast
9503,rm pancrees (wirsungrafia)
9504,rm neuro angio
9504A,rm angio extracraneal arterial (tsa) | rm angio extracranial arterial | rm angio extracranial arterial (tsa)
9504B,rm angio extracranial venosa
9504C,rm angio intracraneal arterial | rm angio intracranial arterial
9504D,rm angio intracraneal venosa | rm angio intracraniel venosa
9506,rm craneal y espectroscopia | rm espectroscopia
9506B,rm esterotaxia biopsia
9507,elasto rm
9509,rm dinamica neurologica | rm dinamica neurologica
9509A,rm craneal y dinamica lcr | rm dinamica lcr | rm craneal y  dinamica lcr
9510,rm craneal y angio rm arterial intracraneal
9510A,rm craneal y angio rm venosa intracraneal
9510B,rm fetal neuro
9511,rm ictus
9511A,rm medula cervical | rm medular cervical
9512,rm glioma
9512A,rm medula dorsal/lumbar | rm medular dorsal/lumbar
9513,rm columa dos segmentos contiguos
9514,rm columa tres segmentos
9515,rm postmortem
9515A,rm placenta
9516,rm angio espinal
9517,rm espectroscopia multivoxel
9517A,rm tensor de difusion/tractografia
9518,rm cais
9519,ecografia clinica
9530,rm corporal
9530A,rm toracica | rm toracica
9530B,rm plexo braquial
9530C,rm aixella
9530D,rm cardiaca
9530E,rm hepatica | rm hepatica
9530F,rm pancreatica (incluye colangiopancreatografia rm) | rm pancreatica | rm pancreatica (incluye colangiopancreatografia rm)
9530G,rm colangiografia | rm colangiografia
9530H,rm suprarenales | rm suprarenals
9530I,rm renal
9530J,rm urografia
9530K,rm pelvis femenina
9530L,rm pelvis masculina | rm pelvis maculina
9530M,rm pelvis con tecnica de perfusion/difusion | rm pelvis con tecnica perfusion/difusion
9530Z,rm colangiografia con contraste | rm colangiografia con contraste
9531,rm abdominal (gu)
9531A,rm abdominal con tecnica perfusion/difusion (gu)
9532,rm corporal doble
9532A,rm hepatica con espectroscopia | rm hepatica con espectroscopia
9532B,rm suelo de la pelvis
9532C,rm pancreatica funcional (secretina) | rm pancreatica funcional (secretina)
9532F,rm pelvis para fistulas digestivas
9532G,rm extension local neoplasia de recto | rm extension local neoplasia de recto
9534,rm corporal angio
9534A,rm vascular aorta
9534B,rm vascular arterias pulmonares | rm vascular arteries pulmonars
9534C,rm vascular renales
9534D,rm vascular arteria hepatica
9534E,rm vascular vena porta
9534F,rm vascular arteria mesenterica
9534G,angio rm venosa abdominal (vci/vena suprahepatica/v porta) | rm vascular estudi venos | angiorm venosa abdominal (vci/ v suprahepaticas/v porta)
9534H,rm vascular extremitats inferiors
9534I,rm vascular extremitats superiors
9534J,angio rm venas pulmonares y volumetria auricular | angiorm venas pulmonares y volumetria auricular
9534K,angio rm evaluacion donante renal
9534L,angio rm evaluacion receptor renal
9534M,rm vascular pelvica
9534W,rm fetal cuerpo
9535,rm fetal
9535A,rm colonografia | rm colonografia
9535B,rm enterografia | rm-enterografia
9535C,calculo volumetrico hepatico por  rm
9535D,reconstrucciones 3d abdomen
9535E,rm evaluacion donante hepatico (incluyevolumetria hepatica y mpr)
9535F,"angiorm region esplacnica (tc, ams )"
9536,rm de prostata | rm  de prostata
9537,rm via biliar
9538,rm de mama
9538A,rm intervencionista de mama
9538B,rm screening alto riesgo
9540,rm cardiaca
9540A,rm cardiaca y angio rm vascular
9540B,rm cardiaca y estres farmacologico | rm cardiaca y stress farmacologico
9540C,rm cardiaca y flujos valvulares | rm cardiaca y flujos valvulares
9540D,rm cardiaca miocardiopatia arritmogenica | rm cardiaca miocardiopatia arritmogenica
9550,rm muscul-esqueletic
9550A,rm espatlla
9550B,rm brac/humer
