lab_sap_ref,lab_descr,units,lab_ref
LABAPH9H,Análisis del pH 60m,pH,890
LABAPIX,Quantificació dApixaban en pl,ng/mL,4324
LABAPP,Estudi molecular gen precursor,N.D.,891
LABAPPAL,ß-Amiloide 1-42,N.D.,892
LABAPTTR,Temps de tromboplastina parcia,N.D.,893
LABAREAC,Anticuerpos antireceptor acetilc,nMol,894
LABARGI,Acido argininsuccínico sérum,µmol/L,895
LABARGIO,Acido argininsuccínico orina,mmol/mol creatina,896
LABARGOO,"Arginina (ARG), orina",mmol/mol creat.,897
LABARIP,"Aripiprazol, sérum",ng/mL,898
LABASCAA,Anticuerpos IgA anti-Saccharomyc,U/mL,899
LABASCAG,Anticuerpos IgG anti-Saccharomyc,U/mL,900
LABASNOO,"Asparragina (ASN), orina",mmol/mol creat.,901
LABASOAM,Basofilos absolutos manual,10^9/L,902
LABASPOO,"Ácido aspártico (ASP), orina",mmol/mol creat.,903
LABASPP,"Ácido aspártico (ASP), plasma",µmol/L,904
LABASULF,Anticuerpos anti-Sulfatidos,N.D.,905
LABATAPMD,Repertori TCR per NGS dalta p,N.D.,906
LABATAPS,Repertori TCR per NGS dalta p,N.D.,907
LABATATT,AC.ANTIPROTROMBINA,N.D.,4325
LABATAXD,Atàxies Dominants,N.D.,4326
LABATAZA,"Atazanavir, sangre total",N.D.,908
LABATAZALC,"Atazanavir, plasma LC/MS",µg/mL,909
LABATC19,Anticuerpos totales covid-19 (Ig,N.D.,910
LABATCOVS,Anticossos Anti-SARS-CoV-2 S,,5086
LABATENO,Atenolol,N.D.,4327
LABATOCO,Alfa-tocoferol,µmol/L,911
LABATOPY,"Cribaje IgE polenes sur Europa,",N.D.,912
LABATROP,Antidepresivos tricíclicos en or,N.D.,913
LABATTRF,"Amiloidosis familiar, transtiret",N.D.,914
LABATTRI,"Amiloidosis familiar, transtiret",N.D.,915
LABATXDP,Ataxia dominante diagnóstico p,N.D.,916
LABAULQ,"Àcid úric, líquid",N.D.,917
LABAUP,Ácido úrico plasma,mg/dL,918
LABAURILR,"Ácido úrico, líquidoo articular",mg/dL,919
LABAVAD,Aldosterona - VAD,ng/dL,920
LABAVAI,Aldosterona - VAI,ng/dL,921
LABAVC,Aldosterona - VC,ng/dL,922
LABAVCMV,"Avidesa IgG de CMV, sérum",N.D.,923
LABAVHE,Ac virus de la hepatitis E [anti,N.D.,924
LABAVIS,Aviso:,N.D.,925
LABAVPOE,"Vasopressina (AVP, ADH),orina",N.D.,926
LABAVPP120,"Vasopressina (AVP, ADH) 120 mi",N.D.,927
LABAVPP30,"Vasopressina (AVP, ADH) 30 min",N.D.,928
LABAVPP60,"Vasopressina (AVP, ADH) 60 min",N.D.,929
LABAVPP90,"Vasopressina (AVP, ADH) 90 min",N.D.,930
LABAVPPB,"Vasopressina (AVP, ADH) 0 min",ng/dL,4328
LABAVPPE,"Vasopressina (AVP, ADH),plasma",ng/L,931
LABAVPRF,"Gen AVP-R -familiar,sang total",N.D.,4329
LABAVPRI,"Gen AVP-R -cas índex,sang tota",N.D.,4330
LABAVTXE,Avidesa Ac IgG anti-Toxoplasma g,N.D.,932
LABAZNT8,Anticuerpos anti-ZnT8,U/mL,933
LABAZUR,Ac IgG antiazurocidina (ANCA pan,N.D.,934
LABB115,"Cociente Albúmina/Globulinas, sé",N.D.,935
LABB27,"Tipatge HLA-B27, sangre total",N.D.,936
LABB2MICGO,"Beta-2-Microglobulina, orina",µg/L,937
LABB66,Triglicèrids VLDL (ultracentri,N.D.,938
LABBA,Distribució isoenzimàtica %A bi.,N.D.,939
LABBA140,ß-amiloide 1-40,N.D.,940
LABBACT,"Bacterias, sedimento",U/campo,941
LABBAMO,"Ac. beta-aminoisobutíric (BAIB),",mmol/mol creat.,942
LABBANDASC,Neutròfils no segmentatssang,%,5042
LABBANDM,"Bandas oligloconales IgM, LCR",N.D.,943
LABBASAMSC,Basòfils sang de cordó,10^9/L,5043
LABBASO,Basofilos,%,944
LABBASOASC,Basòfils sang de cordó,10^9/L,5044
LABBASOMSC,Basòfils sang de cordó,%,5045
LABBASOSC,Basòfils sang de cordó,%,5046
LABBB,Distribució isoenzimàtica %B bi.,N.D.,945
LABBC,Cariotip en biòpsia corial,N.D.,4331
LABBCA,Distribució isoenzimàtica %A bi.,N.D.,946
LABBCB,Distribució isoenzimàtica %B bi.,N.D.,947
LABBCEXO,Búsqueda de corticoides exógenos,N.D.,948
LABBCHEXA,beta-hexosaminidasa A bi.cor. cu,nmol/h/mg,949
LABBCHEXT,beta-hexosaminidasa total bi.cor,nmol/h/mg,950
LABBCLARGO,Cariotipo en biopsia corial (cul,N.D.,951
LABBCORTAO,ß-cortolona,N.D.,952
LABBCORTO,ß-cortol,N.D.,953
LABBCPT2D,Gen CPT2-Cerca de mutacions (D,N.D.,954
LABBCPT2S,Gen CPT2-Cerca de mutacions (D,N.D.,955
LABBCTNS,Cerca de mutacions en el gen C,N.D.,956
LABBCTX,"Beta-CrossLaps (b-CTX), sérum",ng/mL,957
LABBETA2GN,IgG antibeta 2 glicoproteina,CU o GPL,958
LABBETA2MN,Ac IgM antibeta 2 glicoproteico,CU o MPL,959
LABBETAL,"Beta-Globulinas, líquido",N.D.,960
LABBETFDHD,Gen ETFDH-Cerca de mutacions(D,N.D.,4332
LABBETFDHS,Gen ETFDH-Cerca de mutacions (,N.D.,4333
LABBFBRSS,Gen GLA - Cerca de mutacions f,N.D.,961
LABBFRS,Cerca de mutacions en el gen G,N.D.,962
LABBGAAD,Gen GAA - Cerca de mutacions (,N.D.,4334
LABBGAAS,Gen GAA - Cerca de mutacions (,N.D.,963
LABBGBAD,Gen GBA - Cerca de mutacions (,N.D.,964
LABBGBAI,Mutacions gen GBA (Malaltia de,N.D.,965
LABBGBAS,Gen GBA - Cerca de mutacions (,N.D.,966
LABBGCDHS,Cerca de mutacions en el gen G,N.D.,4335
LABBGGALTS,Cerca de mutacions en el gen G,N.D.,967
LABBGM1D,Gen GLB1 - Cerca de mutacions,N.D.,4336
LABBGM1S,Gen GLB1 - Cerca de mutacions,N.D.,4337
LABBHCGU,bhCG Gonadotropina corionica,UI/L,968
LABBHEXA,beta-hexosaminidasa A bi.cor.,N.D.,969
LABBHEXT,beta-hexosaminidasa total bi.cor,N.D.,970
LABBHG,Ac IgG anti-Bartonella henselae,N.D.,971
LABBHM,Ac IgM anti-Bartonella henselae,N.D.,972
LABBHNT,Cerca de mutacions al gen IDS,N.D.,4338
LABBICAC,"Bicarbonato actual, sangre capil",mmol/L,973
LABBICARVC,Bicarbonato actual venoso cordón,N.D.,974
LABBICOR,Bicarbonat orina 24 h,mMol/24H,4339
LABBILLIS,Bilirrubina indirecta,mg/dL,975
LABBILOB,BILIRRUBINA O BASIC,N.D.,4340
LABBILSA,"Bilirrubina, sangre arterial",mg/dL,976
LABBILSAN1,"Bilirrubina, sangre arterial",mg/dL,977
LABBILSAN2,"Bilirrubina, sangre arterial",mg/dL,978
LABBILSAN3,"Bilirrubina, sangre arterial",mg/dL,979
LABBILSC,"Bilirrubina, sangre capilar",mg/dL,980
LABBILSCN1,"Bilirrubina, sangre capilar",mg/dL,981
LABBILSV,"Bilirrubina, sangre venosa",mg/dL,982
LABBILSVN1,"Bilirrubina, sangre venosa",mg/dL,983
LABBILSVN2,"Bilirrubina, sangre venosa",mg/dL,984
LABBILSVN3,"Bilirrubina, sangre venosa",mg/dL,985
LABBLASAM,Blasts,10^9/L,986
LABBLDMS,Gen ARSA - Cerca de mutacions,N.D.,987
LABBLOM1,IgE Blomia tropicalis (d201)-c,N.D.,988
LABBLOT,Otras especificidades de anticue,N.D.,989
LABBLR,HLA-B(LR),N.D.,990
LABBMACHCD,"Gen MMACHC - Cerca mutacions,",N.D.,4341
LABBMACHCS,Gen MMACHC - Cerca de mutacion,N.D.,4342
LABBMLMD,"Gen ARSB - Cerca de mutacions,",N.D.,4343
LABBMLMS,"Gen ARSB - Cerca de mutacions,",N.D.,4344
LABBNAIV,B naive (IgM+IgD+CD27-),%,991
LABBNAIVET,Limfòcits B naive (IgM+IgD+CD2,Cèls/µL,4345
LABBNP,Pèptid natriurètic cerebral (B,pg/mL,992
LABBNPC1D,Búsqueda de mutaciones en el gen,N.D.,993
LABBNPC1S,Cerca de mutacions al gen NPC1,N.D.,994
LABBNZIL,"Benzoilecgonina, orina",N.D.,995
LABBOTE,Prestació no visible informe,N.D.,996
LABBP180,"Acs IgG anti-BP180, sérum",U/mL,997
LABBP230,"Anticuerpos IgG anti-BP230, séru",U/mL,998
LABBPI,"Anticuerpos anti-BPI, sérum",N.D.,999
LABBPLAS,Plasmablastes (IgM- CD38+++),N.D.,1000
LABBPLASMT,Plasmablastes (IgM- CD38+++) s,Cèls/µL,4346
LABBQG,Ac IgG anti-Bartonella quintana,N.D.,1001
LABBQM,Ac IgM anti-Bartonella quintana,N.D.,1002
LABBQOBS,Observacions Bioquímica,N.D.,1003
LABBRBG,Ac IgG Borrelia burgdorferi (Lym,N.D.,1004
LABBRBM,Ac IgM Borrelia burgdorferi (Lym,N.D.,1005
LABBRCAF,Gen BRCA-mutación concreta (ca,N.D.,1006
LABBRCNG,Estudi del genes BRCA1 i BRCA2,N.D.,4347
LABBREG,B reguladores (CD24++CD38++),%,1007
LABBREGT,B reguladores totales,%,1008
LABBSFAS,Cerca de mutacions en el gen S,N.D.,4348
LABBSPRL,Bisoprolol,N.D.,4349
LABBTP,Proteïna beta-trace (BTP),N.D.,1009
LABBTRANS,B transicionales (IgM++CD38+++),%,1010
LABBTRANST,Limfòcits B transicionals (IgM,Cèls/µL,4350
LABBUNLDP,"BUN, liquido dialisis peritoneal",mg/dL,1011
LABBUNLQ,"BUN, liquido",mg/dL,1012
LABBUNOD,"BUN, orina 24 h",mg/dL,1013
LABBUNORP,"BUN, orina",mg/dL,1014
LABBXALDIN,Interpretació,N.D.,1015
LABBXCTD,Gen CYP27A1 - Cerca de mutacio,N.D.,4351
LABBXCTS,Gen CYP27A1 - Cerca de mutacio,N.D.,4352
LABC101,C10:1,pmol/72h/mg prot,1016
LABC102,C10:2,pmol/72h/mg prot,1017
LABC10DC,C10-DC,pmol/72h/mg prot,1018
LABC12,IgE Penicilloyl G (c1)-conc.,N.D.,1019
LABC121,C12:1,pmol/72h/mg prot,1020
LABC14,C14,pmol/72h/mg prot,1021
LABC141OH,C14:1-OH,pmol/72h/mg prot,1022
LABC142,C14:2,pmol/72h/mg prot,1023
LABC14OH,C14-OH,pmol/72h/mg prot,1024
LABC161OH,C16:1-OH,pmol/72h/mg prot,1025
LABC16DC,C16-DC,pmol/72h/mg prot,1026
LABC16OH,C16-OH,pmol/72h/mg prot,1027
LABC182OH,3-OH-octadecadienoilcarnitina,µmol/L,1028
LABC1INM,IgE Penicilloyl G (c1)-cl.,N.D.,1029
LABC21,IgE Penicilloyl V (c2)-cl.,N.D.,1030
LABC22,IgE Penicilloyl V (c2)-conc.,N.D.,1031
LABC24C26L,C24+C26/C22,N.D.,1032
LABC3A,"Determinación de C3a, sérum",ng/mL,1033
LABC4,C4,pmol/72h/mg prot,1034
LABC4OH,C4-OH,pmol/72h/mg prot,1035
LABC51,IgE Ampicilina (c5)-cl.,N.D.,1036
LABC52,IgE Ampicilina (c5)-conc.,N.D.,1037
LABC5A,"Determinación de C5a, sérum",ng/mL,1038
LABC6,C6,pmol/72h/mg prot,1039
LABC61,IgE Amoxicilina (c6)-cl.,N.D.,1040
LABC62,IgE Amoxicilina (c6)-conc.,N.D.,1041
LABC6DC,C6-DC,pmol/72h/mg prot,1042
LABC731,Insulina humana (c73)-classe,N.D.,4353
LABC732,Insulina humana (c73)-concentr,kU/L,4354
LABC74I,IgE Gelatina (c74)-cl.,N.D.,1043
LABC74II,IgE Gelatina (c74)-conc.,N.D.,1044
LABC807T,Polimorfisme C-807-T de la gli,N.D.,1045
LABC8DC,C8-DC,pmol/72h/mg prot,1046
LABC8I,c8 - IgE Clorhexidina (cl),N.D.,1047
LABC8II,c8 - IgE Clorhexidina,kU/L,1048
LABCA24H,"Cociente calcio/creatinina, orin",mg/g,1049
LABCACAU,Cribatge IgE componets molecul,N.D.,4355
LABCADSP,Diferencia % Ca,N.D.,1050
LABCAF,Comentari FOLIC,N.D.,4356
LABCAFEI,Cafeïna sèrum,ug/mL,5073
LABCAGLBCC,Comentario,N.D.,1051
LABCAISA,Calcio ionizado sangre arterial,mmol/L,1052
LABCAISC,"Calcio iónico, sanreg capilar",mmol/L,1053
LABCALAMAY,Aldosterona - mayor/Aldosterona,N.D.,1054
LABCALAVAD,Aldosterona - VAD / Cortisol - V,N.D.,1055
LABCALAVAI,Aldosterona - VAI / Cortisol - V,N.D.,1056
LABCALCVAD,Cortisol - VAD / Cortisol - VC,N.D.,1057
LABCALCVAI,Cortisol - VAI / Cortisol - VC,N.D.,1058
LABCALPR,Calprotectina,µg/g,1059
LABCALPS,"Calprotectina, sérum",µg/mL,1060
LABCALQ,"Calcio, liquido",mg/dL,1061
LABCAMSP,Concentración medida muestra Ca,mg/dL,1062
LABCANOC1,Copies/genoma CART-CD1A sang,N.D.,5101
LABCAOD,"Calcio, orina 24 h",mg/dL,1063
LABCAORI,Coeficiente calcio/creatinina,mg/g,1064
LABCAR,"Gen del receptor de calci,sang",N.D.,1065
LABCARNPC,Interpretació,N.D.,1066
LABCART19I,Interpretació,N.D.,1067
LABCART19N,Quantificació CART19 en àcids,N.D.,1068
LABCASRF,Gen CaSR-mutación concreta (ca,N.D.,1069
LABCATG,Anticuerpo anticatepsina G (ANCA,N.D.,1070
LABCATSP,Concentración teórica muestra Ca,mg/dL,1071
LABCAU,"Cristales de ácido úrico, sedime",U/campo,1072
LABCBCB27,B memoria cambio isotipo (IgD-/C,%,1073
LABCBGH,"Transcortina (CBG),sèrum",N.D.,1074
LABCBIAM,"Cristales de Biurato amónico, se",N.D.,1075
LABCCD1A,Células CD1a +,%,1076
LABCCD25S,Quantificació CD25 soluble,UI/mL,1077
LABCCFDNA,Quantif dd-cfDNA seguiment tx,N.D.,1078
LABCCH,Càncer de colon hereditari no,N.D.,4357
LABCCHF,Cáncer de colon hereditario no p,N.D.,1079
LABCCK,"Colecistoquinina, sèrum",N.D.,4358
LABCCKP,"Colecistoquinina,  plasma",pg/mL,4359
LABCCLIMF,Concentración Linfocitos,x10^3/ml,1080
LABCCMHSC,CCMH(Conc.corp.mitja Hb)sang,g/L,5047
LABCCMV1,Concentración CD3+CD8+CMV-HLA+ 1,Cels/ml,1081
LABCCMV2,Concentració CD3+CD8+CMV-HLA+,Cels/ml,4360
LABCCMV3,Concentració CD3+CD8+CMV-HLA+,Cels/ml,4361
LABCCMV4,Concentración CD3+CD8+CMV-HLA+ 4,Cels/ml,1082
LABCCNEG,Concentración CD3+CD8+Dextramer+,N.D.,1083
LABCCP,"Anticuerpos anti-CCP, sérum",CU,1084
LABCCPGA,Cocient cadenes pesades IgA ka,N.D.,1085
LABCCPGG,Quocient cad.pesa.IgG kappa/la,N.D.,1086
LABCCPGM,Cocient cadenes pesades IgG ka,N.D.,1087
LABCCR5,Genotipificació de la delecció,N.D.,1088
LABCCTIL,"Cocaetileno, orina",N.D.,1089
LABCD1656,Celulas NK,%,1090
LABCD1656C,Células NK (CD16 + CD56 +),%,1091
LABCD1656T,Celulas NK totales,Cels/µL,1092
LABCD18CD1,Expresión CD18/CD11a,N.D.,1093
LABCD19,"CD19, sangre total",%,1094
LABCD19BT,CD19 (Linfocitos B) totales,Cél/µL,1095
LABCD19C,CD19 (Linfocitos B),%,1096
LABCD19LCR,"CD19 (Linfocitos B), LCR",%,1097
LABCD19T,CD19 (Linfocitos B) totales,Cèls/µL,1098
LABCD19TLC,"CD19 (Linfocitos B) totales, LCR",N.D.,1099
LABCD23S,CD23 soluble sèrum,ng/mL,5100
LABCD25,"CD25, sangre total",%,1100
LABCD3,CD3 linfocitos  % sangre total,%,1101
LABCD34,Rte. progenitors producte CD34,N.D.,1102
LABCD34PO,Recompte de progenitors post-a,N.D.,1103
LABCD34PR,Recompte de progenitors pre-af,N.D.,1104
LABCD34SM,Recompte de progenitors sense,mL,4362
LABCD3CD10,"Limf CD3-CD103+ (i-NK), % de L",N.D.,1105
LABCD3LCR,"CD3 (Linfocitos T), LCR",%,1106
LABCD3PP,Rte. progenitors producte CD3,N.D.,1107
LABCD3TBC,CD3 (Linfocitos T),%,1108
LABCD3TC,CD3 (Linfocitos T),%,1109
LABCD3TC19,CD3 (Linfocitos T),%,1110
LABCD3TLCR,"CD3 (Linfocitos T) totales, LCR",N.D.,1111
LABCD3TOT,CD3 valor absoluto sangre total,Cels/µL,1112
LABCD3TT,CD3 (Linfocitos T) totales,Cél/µL,1113
LABCD4,CD4 linfocitos % sangre total,%,1114
LABCD40L,Dosificación de Ligando de CD40,N.D.,1115
LABCD45R0,CD8+ CD45RO+ (de los linfocitos,%,1116
LABCD45RA,CD8+ CD45RA+ (de los linfocitos,%,1117
LABCD45RO,Limfòcits CD3+CD45RO+,%,4363
LABCD4CD8,CD3+CD4+CD8+% (Dobles positivos),%,1118
LABCD4CD8L,"Quocient CD4/CD8, LCR",N.D.,1119
LABCD4CD8N,Quocient CD4 / CD8,N.D.,1120
LABCD4EF,"LT CD4 + efectores,% de LT CD4",N.D.,1121
LABCD4LCR,"CD4 (linfocitos T, %sobre CD3),",%,1122
LABCD4MC,"LT CD4 + memòria central,% de",N.D.,1123
LABCD4ME,"LT CD4 + memòria efectora,% de",N.D.,1124
LABCD4N8N,CD3+CD4+CD8+% (Dobles negativos),%,1125
LABCD4NAIV,"LT CD4+ naive, % de LT CD4+",N.D.,1126
LABCD4RAW,CD4 Raw en Linfocitos T- amb DP,%,1127
LABCD4TC,CD4 (Linfocitos T),%,1128
LABCD4TCIT,CD4 en Limfòcits T,N.D.,4364
LABCD4TLCR,"CD4 (Linfocitos T) totales, LCR",N.D.,1129
LABCD4TOT,CD4 valor absoluto sangre total,Cels/µL,1130
LABCD4TT,CD4 (Linfocitos T) totales,Cél/µL,1131
LABCD62P,"P-Selectina (CD62P),sèrum",N.D.,1132
LABCD8,CD8 linfocitos % sangre total,%,1133
LABCD8LCR,"CD8 (linfocits T, %sobre CD3), L",%,1134
LABCD8MC,"LT CD8 + memòria central,% de",%,1135
LABCD8ME,"LT CD8 + memòria efectora,% de",%,1136
LABCD8NAIV,"LT CD8 + naive,% de LT CD8 +",%,1137
LABCD8NK,Células NK cd8+ (% de los linfoc,%,1138
LABCD8RAW,CD8 Raw en Linfocitos T- con DP,%,1139
LABCD8T,CD8 (Linfocitos T),%,1140
LABCD8TEMR,"LT CD8 + TEMRA,% de LT CD8 +",%,1141
LABCD8TLCR,"CD8 (Linfocitos T) totales, LCR",N.D.,1142
LABCD8TOT,CD8 valor absoluto sangre total,Cels/µL,1143
LABCD8TT,CD8 (Linfocitos T) totales,Cél/µL,1144
LABCDCO,"Coombs directo, sangre cordón",N.D.,1145
LABCDENM,Células dendríticas mieloides,%,1146
LABCDENP,Células dendríticas plasmacitoid,%,1147
LABCDENT,Células dendríticas totales (CD),%,1148
LABCDG2,Disialo,%,1149
LABCDG3,Trisialo,N.D.,1150
LABCDG4,Tetrasialo,N.D.,1151
LABCDG56,Penta+hexasialo,N.D.,1152
LABCDGCOM,Interpretació,N.D.,1153
LABCDNAHR,HLA-C(HR),N.D.,4365
LABCDTACRO,C0/D Tacrolimus,ng/mL/mg,1154
LABCEAC,CEA antigeno carcinoembrionario,ng/mL,1155
LABCEC,Detecció de cèl.lules epitelia,N.D.,4366
LABCEFAZ,"Cefazolina, plasma LC/MS/MS",µg/mL,1156
LABCEFEP,"Cefepime, plasma LC/MS/MS",µg/mL,1157
LABCEFOT,"Cefotaxime, plasma LC/MS/MS",µg/mL,1158
LABCEFUR,"Cefuroxima, plasma LC/MS/MS",µg/mL,1159
LABCEN,"Anticuerpos anticentromeric, sér",N.D.,1160
LABCENP,"Anticuerpos IgG anti-CENP-B, sér",U/ml,1161
LABCENPA,"Ac IgG anti-CENP-A, suero (Dot-B",N.D.,1162
LABCENPB,"Ac IgG anti-CENP-B, suero (Dot-B",N.D.,1163
LABCENPBA,"Anticuerpos IgG anti-CENP-B, sér",N.D.,1164
LABCENPBAN,Anticossos IgG anti-CENP-B sè,,5025
LABCEPHM,Cephen mezcla (s),s,1165
LABCEPI,"Células epiteliales, sedimento",N.D.,1166
LABCEPLSM,Cephen mezcla LS (s),s,1167
LABCEPRMR,Cephen ratio mezcla (ratio),ratio,1168
LABCETOB,METILCETONA ORINA BA,N.D.,4367
LABCFHP,Quantificació Factor H plasma,N.D.,1169
LABCFIB4,Cálculo FIB-4,N.D.,1170
LABCFM37,Capacidad fagocítica monócitos 3,%,1171
LABCFN37,Capacidad fagocítica neutrófilos,%,1172
LABCFSE,"Proliferació (CFSE), sang tota",N.D.,1173
LABCGMPO,"GMPc,orina 24 h",pMol/24h,4368
LABCGMPP,"GMPc,sèrum",pMol,4369
LABCHAMPF,Diagnòstic ampliació càncer he,N.D.,1174
LABCHAMPI,Ampliación Cáncer hereditario -,N.D.,1175
LABCHB2,Anexo 1: Metodología y limitacio,N.D.,1176
LABCHB3,Anexo 2: Panel de genes analizad,N.D.,1177
LABCHCM,CHCM concentracion hemoglobina,g/L,1178
LABCHCOLF,Cáncer hereditario colon - famil,N.D.,1179
LABCHCOLI,Cáncer hereditario colon - índic,N.D.,1180
LABCHCSPI,"Càncer de colon hereditari, te",N.D.,1181
LABCHEM,"Cilindros hemáticos, sedimento",N.D.,1182
LABCHF,Cáncer hereditario - familiar (#,N.D.,1183
LABCHGASF,Cáncer gástrico hereditario (cas,N.D.,1184
LABCHGASI,Cáncer gástrico hereditario (cas,N.D.,1185
LABCHGSPE,"Càncer gàstric hereditari, tei",N.D.,1186
LABCHGSPI,"Càncer gàstric hereditari, tei",N.D.,1187
LABCHI,Cáncer hereditario - índice (#),N.D.,1188
LABCHMAOVF,Cáncer hereditario mama/ovario-f,N.D.,1189
LABCHMAOVI,Cáncer hereditario mama/ovario-í,N.D.,1190
LABCHMELF,Diagnòstic Susceptibilitat Mel,N.D.,1191
LABCHMELI,Susceptibilitat melanoma - índ,N.D.,1192
LABCHNEF,"Cáncer hereditario nefrológico,",N.D.,1193
LABCHNEI,"Cáncer hereditario nefrológico,",N.D.,1194
LABCHNNF,Cáncer hereditario neuroendocrin,N.D.,1195
LABCHNNI,Cáncer hereditario neuroendocrin,N.D.,1196
LABCHR,Hemoglobina concentracion retic,pg,1197
LABCIC0,Ciclosporina  0 min,µg/mL,4370
LABCIC1,Ciclosporina 1 hr,ng/mL,4371
LABCIC10,Ciclosporina 10 hr,ng/mL,4372
LABCIC12,Ciclosporina 12 hr,ng/mL,4373
LABCIC2,Ciclosporina 2 hr,ng/mL,1198
LABCIC3,Ciclosporina 3 hr,N.D.,4374
LABCIC30,Ciclosporina 30 min,ng/mL,4375
LABCIC4,Ciclosporina 4 hr,ng/mL,4376
LABCIC6,Ciclosporina 6 hr,ng/mL,4377
LABCIC8,Ciclosporina 8 hr,ng/mL,4378
LABCICDBS,Ciclosporina - DBS,ng/mL,1199
LABCIERI,"Cilindros eritrocitaris, sedimen",N.D.,1200
LABCII,"HLA clasese II, sang total",N.D.,1201
LABCINOG,Cininogeno de alto peso molecula,U/dL,1202
LABCIP,CIP,N.D.,4379
LABCISG,Cistina intraleucocitária,nmol ½ cist/mg prot,1203
LABCISGCOM,Interpretació,N.D.,1204
LABCISTC,"Cistatina-C, sérum",mg/L,1205
LABCITOO,"Citrulina (CIT), orina",mmol/mol creat.,1206
LABCITP,"Citrulina (CIT), plasma",µmol/L,1207
LABCITUO,"Quocient citrat/creatinina, or",N.D.,1208
LABCL,"Cilindros lipídicos, sedimento",N.D.,1209
LABCLIND,"Clindamicina, plasma LC/MS/MS",µg/mL,1210
LABCLN1,CLN1,N.D.,4380
LABCLN2,CLN2,N.D.,4381
LABCLN3,CLN3,N.D.,1211
LABCLN8,CLN8,N.D.,4382
LABCLOPI,"Clopidogrel + metabòlit, sèrum",N.D.,4383
LABCLORA,"Cloranfenicol, plasma LC/MS/MS",µg/mL,1212
LABCLORF,Clorfeniramina,N.D.,4384
LABCLOS,Excreción urinaria cloro,mg/24h,1213
LABCLPDBS,Ciclosporina - DBS,ng/mL,1214
LABCLR,HLA-C(LR),N.D.,1215
LABCLSC,"Cloruro, sangre capilar",mmol/L,1216
LABCM1ABO,Component Monoclonar 1 - Prote,mg/dia,1217
LABCM1ABS,Componente Monoclonar 1 - Protei,g/L,1218
LABCM1POR,Percentatge Component Monoclon,%,1219
LABCM1PORO,Percentatge Component Monoclon,%,1220
LABCM2ABO,Component Monoclonar 2 - Prote,mg/dia,1221
LABCM2ABS,Componente Monoclonar 2 - Protei,g/L,1222
LABCM2POR,Percentatge Component Monoclon,%,1223
LABCM2PORO,Percentatge Component Monoclon,%,1224
LABCM3ABS,Componente Monoclonar 3 - Protei,g/L,1225
LABCM3POR,Percentatge Component Monoclon,N.D.,1226
LABCMC205W,Ácido Eicosapentaenoico [EPA],nmol/mg prot,4385
LABCMC221,Ácido erúcico (C221),nmol/mg prot,4386
LABCMC225W,Àcido docosapentaenoico (C22:5,nmol/mg prot,4387
LABCMC226W,Ácido docosahexaenoico (DHA)C2,nmol/mg prot,4388
LABCMC241,Ácido nervónivo (C24:1),nmol/mg prot,4389
LABCMEF,Cariotipo molecular estudio fami,N.D.,1227
LABCMPLA,"Cariotipo molecular prenatal, LA",N.D.,1228
LABCMPOT,"Cariotipo molecular prenatal, AT",N.D.,1229
LABCMPRN,Cariotipo molecular prenatal,N.D.,1230
LABCMPSB,Cariotipo molecular postnatal,N.D.,1231
LABCMPSN,Cariotipo molecular postnatal,N.D.,4390
LABCMPVC,"Cariotipo molecular prenatal, VC",N.D.,1232
LABCMT1,Charcot-Marie-Tooth tipus 1A  (d,N.D.,1233
LABCMVQ,Citomegalovirus (CMV) carga víri,N.D.,1234
LABCNAO,Cortisona,µg/24h,1235
LABCNAOM,"Cortisona, orina (espectrometria",ug/24h,1236
LABCNCFS,Caracteritzación neutrófilos (ci,N.D.,1237
LABCNE,Cèl.lules no epitelials,N.D.,4391
LABCNFLL,"Neurofilaments (NfL), LCR",N.D.,1238
LABCNFLS,"Neurofilaments (NfL), sèrum",N.D.,1239
LABCNKT,"Cuantificacion células NKT, sang",%,1240
LABCNTK,"Cuantificacion cèl.lules NKT,",%,4392
LABCNVAID,Variació del nombre de còpies,N.D.,4393
LABCO2P,CO2 determinacion,mmol/L,1241
LABCO2TSC,"CO2 total, sangre capilar",mmol/L,1242
LABCOBO,"Cobalto, orina",µg/L,1243
LABCOBST,"Cobalt, sang total",µg/L,4394
LABCOCAD,"Cocaina GC/MS, orina",N.D.,1244
LABCOCCD,"Cociente CD4/CD8, sangre total",N.D.,1245
LABCOCCDC,Quocient CD4 / CD8,N.D.,1246
LABCOCD,Cristales de Oxalato cálcico dih,U/campo,1247
LABCOCKLF,Quocient cad. lleug. Kappa/Lam,N.D.,1248
LABCOCNH,Cristales de Oxalato cálcico no,U/campo,1249
LABCOCO,Cocient cadenes lleugeres kapp,N.D.,4395
LABCODEI,"Codeina, orina",N.D.,1250
LABCODFO,"Cribaje drogas de abuso, orina (",N.D.,1251
LABCOGHB,"GHB confirmació, orina",N.D.,1252
LABCOHBC,"Carboxihemoglobina, sangre capil",%,1253
LABCOHBP,"Carboxihemoglobina, sangre arter",%,1254
LABCOHBSTP,"Carboxihemoglobina, sangre total",%,1255
LABCOL7E,Acs IgG anticol·lagen VII (ELISA,RU/mL,1256
LABCOL7I,"Acs IgG anticol·lagen VII (IFI),",N.D.,1257
LABCOLQ,"Colesterol, líquido",mg/dL,1258
LABCOLSED,"Cristales de Colesterol, sedimen",N.D.,1259
