surgery_code,surgery_code_descr
Q00578,reemplacament de valvula pulmonar amb protesi mecanica | reemplacament de valvula pulmonar amb protesi mecanica
Q00579,reemplacament de valvula tricuspide | reemplacament de valvula tricuspide ambprotesi mecanica
Q00580,reparacion de valvula aortica | reparacio de valvula aortica | reparacio de valvula aortica
Q00581,reparacio de valvula aortica i d aorta ascendent | reparacio de valvula aortica i d aorta ascendent [david]
Q00582,reparacion de valvula mitral | reparacio de valvula mitral | reparacio de valvula mitral
Q00583,reparacio de valvula pulmonar | reparacio de valvula pulmonar
Q00584,reparacio de valvula tricuspide amb anell protetic | reparacio de valvula tricuspide amb anell protetic
Q00585,reparacio de valvula tricuspide | reparacio de valvula tricuspide sense anell protetic
Q00586,descompressio de nervi orbitari | descompressio de nervi orbitari
Q00587,paratiroidectomia subtotal | paratiroidectomia subtotal
Q00588,suprarenalectomia unilateral
Q00589,suprarenalectomia unilateral (laparoscopia) | suprarenalectomia unilateral (per laparoscopia)
Q00590,suprarenalectomia bilateral | suprarenalectomia bilateral
Q00591,suprarenalectomia bilateral (laparoscopia) | suprarenalectomia bilateral (per laparoscopia)
Q00592,hipofisectomia per craniotomia | hipofisectomia per craniotomia
Q00593,lligadura d arteria carotide externa | lligadura d arteria carotide externa
Q00594,endoscopia nasal (rinoscopia) | endoscopia nasal
Q00595,faringoscopia | faringoscopia
Q00596,excisio de diverticle de zencker (per endoscopia) | excisio de diverticle de zencker (per endoscopia)
Q00597,excisio d angiofibroma de cavum | excisio d angiofibroma de cavum
Q00598,excisio de tumor parafaringi | excisio de tumor parafaringi
Q00599,laringoscopia + biopsia laringea | laringoscopia + biopsia laringia
Q00600,derivacio espleno-renal anterior | derivacio espleno-renal anterior
Q00601,derivacio espleno-renal retroperitoneal | derivacio espleno-renal retroperitoneal
Q00602,derivacio mesenterico-caval | derivacio mesenterico-caval
Q00603,derivacio porto-caval | derivacio porto-caval
Q00604,revisio d anastomosi vascular en fetge trasplantat | revisio d anastomosi vascular en fetge trasplantat
Q00605,perfusio d extremitat inferior amb agent antineoplastic | perfusio d extremitat inferior amb agent antineoplastic
Q00606,excisio de gangli limfatic axil.lar | excisio de gangli limfatic axil.lar
Q00607,excisio de gangli centinella axil.lar | excisio de gangli centinella axil.lar
Q00608,excisio de gangli limfatic inguinal | excisio de gangli limfatic inguinal
Q00609,excision de ganglio centinela | excisio de gangli centinella | excisio de gangli centinella
Q00610,limfadenectomia radical ilio-obturatriu | limfadenectomia radical ilio-obturatriu
Q00611,limfadenectomia radical ilio-inguinal | limfadenectomia radical ilio-inguinal
Q00612,limfadenectomia radical inguinal | limfadenectomia radical inguinal
Q00613,esplenectomia
Q00614,esplenectomia (laparoscopia) | esplenectomia (per laparoscopia)
Q00615,esofagectomia total
Q00616,esofagectomia total (laparoscopia) | esofagectomia total (per laparoscopia) | esofagectomia total (laparoscopia)
Q00617,gastrectomia subtotal
Q00618,gastrectomia subtotal (laparoscopia) | gastrectomia subtotal (per laparoscopia)
Q00619,gastrectomia total
Q00620,gastrectomia total (laparoscopia) | gastrectomia total (per laparoscopia) | gastrectomia total (laparoscopia)
Q00621,sutura d ulcera gastrica | sutura d ulcera gastrica
Q00622,fundoplicatura (nissen) | fundoplicatura [nissen]
Q00623,fundoplicatura [nissen] (laparoscopia) | fundoplicatura [nissen] (per laparoscopia)
Q00624,reseccio parcial d intesti prim | reseccio parcial d intesti prim
Q00625,reseccio parcial d intesti prim (laparoscopia) | reseccio parcial d intesti prim (per laparoscopia)
Q00626,reseccio ileo-cecal | reseccio ileo-cecal
Q00627,reseccio ileo-cecal (laparoscopia) | reseccio ileo-cecal (per laparoscopia)
Q00628,hemicolectomia dreta
Q00629,hemicolectomia dreta (laparoscopia) | hemicolectomia dreta (per laparoscopia) | hemicolectomia dreta (laparoscopia)
Q00630,colectomia transversa | colectomia transversa
Q00631,colectomia transversa (laparoscopia) | colectomia transversa (per laparoscopia)
Q00632,hemicolectomia esquerra
Q00633,hemicolectomia esquerra (laparoscopia) | hemicolectomia esquerra (per laparoscopia)
Q00634,hemicolectomia esquerra + colostomia [hartmannh] | hemicolectomia esquerra + colostomia [hartmann]
Q00635,hemicolectomia esquerra + colostomia [hartmann] (laparoscopia) | hemicolectomia esquerra + colostomia [hartmann] (per laparoscopia)
Q00636,sigmoidectomia | sigmoidectomia
Q00637,sigmoidectomia (laparoscopia) | sigmoidectomia (per laparoscopia) | sigmoidectomia (laparoscopia)
Q00638,colectomia abdominal total
Q00639,colectomia abdominal total  (laparoscopia) | colectomia abdominal total (per laparoscopia)
Q00640,apendicectomia  (laparoscopia) | apendicectomia (per laparoscopia)
Q00641,apendicectomia | apendicectomia
Q00642,procto.colectomia total + reservorio ileal en j | procto-colectomia total + reservori ileal en j
Q00643,procto-colectomia total + reservorio ileal en j (laparoscopia) | procto-colectomia total + reservori ileal en j (per laparoscopia) | procto-colectomia total + reservori ileal en j (laparoscopia)
Q00644,reseccio abdomino-perineal de recte [miles] | reseccio abdomino-perineal de recte [miles]
Q00645,reseccio abdomino-perineal de recte (miles) (laparoscopia) | reseccio abdomino-perineal de recte [miles] (per laparoscopia)
Q00646,reseccion anterior alta de recto | reseccio anterior alta de recte | reseccio anterior alta de recte
Q00647,reseccio anterior alta de recte (laparoscopia) | reseccio anterior alta de recte (per laparoscopia)
Q00648,reseccio anterior baixa de recte + excisio total de mesorecte | reseccio anterior baixa de recte + excisio total de mesorecte
Q00649,reseccio anterior baixa de recte + excisio total de mesorecte (laparoscopia) | reseccio anterior baixa de recte + excisio total de mesorecte (per laparoscopia)
Q00650,drenatge d absces perianal | drenatge d absces perianal
Q00651,fistulectomia anal interna
Q00652,hemorroidectomia
Q00653,esfinterotomia anal | esfinterotomia anal
Q00654,hepatectomia ampliada
Q00655,hepatectomia de donant viu
Q00656,reseccio segmentaria de fetge | reseccio segmentaria de fetge
Q00657,reseccio segmentaria de fetge (laparoscopia) | reseccio segmentaria de fetge (per laparoscopia)
Q00658,excisio de quist hidatidic hepatic | excisio de quist hidatidic hepatic
Q00659,hepatectomia reglada
Q00660,trasplantament de fetge de donant cadaver | trasplantament de fetge
Q00661,reparacio de laceracio hepatica | reparacio de laceracio hepatica
Q00662,colecistectomia
Q00663,colecistectomia (laparoscopia) | colecistectomia (per laparoscopia) | colecistectomia  (laparoscopia)
Q00664,derivacio bilio-digestiva | derivacio bilio-digestiva
Q00665,revisio de derivacio bilio-digestiva | revisio de derivacio bilio-digestiva
Q00666,reparacion de hernia inguinal unilateral | reparacio d hernia inguinal unilateral | reparacio d hernia inguinal unilateral
Q00667,reparacion de hernia inguinal unilateral con malla | reparacio d hernia inguinal unilateral amb empelt | reparacio d hernia inguinal unilateral amb malla
Q00668,reparacio d hernia inguinal bilateral | reparacio d hernia inguinal bilateral
Q00669,reparacio d hernia inguinal bilateral amb malla | reparacio d hernia inguinal bilateral amb empelt
Q00670,reparacio d hernia crural unilateral amb malla | reparacio d hernia crural unilateral amb empelt
Q00671,reparacio d hernia crural unilateral | reparacio d hernia crural unilateral
Q00672,reparacio d hernia crural bilateral ambmalla | reparacio d hernia crural bilateral ambempelt
Q00673,reparacio d hernia crural bilateral | reparacio d hernia crural bilateral
Q00674,reparacio d hernia umbilical amb malla | reparacio d hernia umbilical amb empelt
Q00675,reparacio d hernia umbilical | reparacio d hernia umbilical
Q00676,reparacio d eventracio | reparacio d eventracio
Q00677,reparacio d hernia de spieghel | reparacio d hernia de spieghel
Q00678,reparacion de hernia epigastrica | reparacio d hernia epigastrica | reparacio d hernia epigastrica
Q00679,reparacion de hernia con malla | reparacio d eventracio amb empelt | reparacio d eventracio amb malla
Q00680,laparotomia diagnostica | laparotomia diagnostica | laparotomia diagnostica
Q00681,drenatge d absces subfrenic | drenatge d absces subfrenic
Q00682,drenatge d hematoma intraperitoneal | drenatge d hematoma intraperitoneal
Q00683,excisio de si pilonidal | excisio de si pilonidal
Q00684,desbridament cervical
Q00685,excisio de melanoma de cap i coll | excisio de melanoma de cap i coll
Q00686,excisio de melanoma de tronc | excisio de melanoma de tronc
Q00687,excisio de melanoma d extremitat inferior | excisio de melanoma d extremitat inferior
Q00688,excisio de melanoma d extremitat superior | excisio de melanoma d extremitat superior
Q00689,reparacio de meningocele nasal | reparacio de meningocele nasal
Q00690,excisio de lesio de parpella | excisio de lesio de parpella
Q00691,excisio de lesio de parpella <local> | excisio de lesio de parpella <local>
Q00692,excisio de calazi <local> | excisio de calazi <local>
Q00693,reparacio de ptosi palpebral | reparacio de ptosi palpebral
Q00694,reparacio de ptosi palpebral <local> | reparacio de ptosi palpebral <local>
Q00695,reparacio d ectropi  <local> | reparacio d ectropi <local>
Q00696,reparacio d entropi <local> | reparacio d entropi <local>
Q00697,plastia palpebral <local> | plastia palpebral <local>
Q00698,depilacio de parpella <local> | depilacio de parpella <local>
Q00699,sondatge lacrimal <local> | sondatge lacrimal <local>
Q00700,canaliculostomia lacrimal
Q00701,dacriocistectomia
Q00703,excisio de lesio de conjuntiva <local> | excisio de lesio de conjuntiva <local>
Q00704,implant ocular de membrana amniotica | implant ocular de membrana amniotica
Q00705,plastia conjuntival <local> | plastia conjuntival <local>
Q00706,excisio de pterigi <local> | excisio de pterigi <local>
Q00707,sutura de laceracio corneal | sutura de laceracio corneal
Q00708,reparacio de dehiscencia corneal | reparacio de dehiscencia corneal
Q00709,trasplantament corneal
Q00710,trabeculectomia | trabeculectomia
Q00711,ciclocrioterapia | ciclocrioterapia
Q00712,implant de valvula per glaucoma | implant de valvula per glaucoma
Q00713,sutura de laceracio d esclerotica | sutura de laceracio d esclerotica
Q00714,facoemulsificacio de cataracta | facoemulsificacio de cataracta
Q00715,facoemulsificacion de catarata + lio | facoemulsificacio de cataracta + implant de lio | facoemulsificacio de catarata + lio
Q00716,lensectomial | lensectomia
Q00717,extraccio extracapsular de catarata | extraccio extracapsular de cataracta
Q00718,extraccio extracapsular de catarata + lio | extraccio extracapsular de cataracta + implant de lio
Q00719,implant secundari de lio | implant secundari de lio
Q00720,extraccio de lio | extraccio de lio
Q00721,crioterapia de la retina
Q00722,fotocoagulacio de la retina amb laser | fotocoagulacio de la retina amb laser
Q00723,grunziment escleral amb implant | frunziment escleral amb implant
Q00724,extraccio d implant escleral | extraccio d implant escleral
Q00725,vitrectomia mecanica anterior | vitrectomia mecanica anterior
Q00726,vitrectomia mecanica via pars plana (vpp) | vitrectomia mecanica via pars plana (vpp)
Q00727,cirurgia de l estrabisme
Q00728,evisceracio de globus ocular | evisceracio de globus ocular
Q00729,enucleacio de globus ocular | enucleacio de globus ocular
Q00730,extraccio de protesi ocular | extraccio de protesi ocular
Q00731,reparacio de ruptura de globus ocular | reparacio de ruptura de globus ocular
Q00732,descompressio anterior en fractures vertebrals | descompressio anterior en fractures vertebrals
Q00733,descompressio de canal medul.lar en mielopatia cervicoartrotica | descompressio de canal medul.lar en mielopatia cervicoartrotica
Q00734,descomprensio posterior en fractures vertebrals | descompressio posterior en fractures vertebrals
Q00735,foraminotomia
Q00736,rizolisis<local> | rizolisi | rizolisi <local>
Q00737,osteosintesi d l odontoide | osteosintesi de l odontoide
Q00738,osteosintesi del raquis cervical inferior en fractures | osteosintesi del raquis cervical inferior en fractures
Q00740,empelt de duramater | empelt de duramater
Q00741,reparacio de duramater | reparacio de duramater
Q00742,injeccio epidural o intradural peroperatoria de corticoides | injeccio epidural o intradural peroperatoria de corticoides
Q00743,laminoplastia cervical | laminoplastia cervical
Q00744,protesi de disc intervertebral cervical | protesi de disc intervertebral cervical
Q00745,protesi de disc intervertebral lumbar | protesi de disc intervertebral lumbar
Q00746,protesi interespinosa | protesi interespinosa
Q00747,desnervacio del tendo rotular | desnervacio del tendo rotular
Q00748,excisio de neuroma de morton de la planta del peu | excisio de neuroma de morton de la planta del peu
Q00749,biopsia de nervi periferic | biopsia de nervi periferic
Q00750,biopsia de nervi periferic d extremitatinferior | biopsia de nervi periferic d extremitatinferior
Q00751,biopsia de nervi periferic d extremitatsuperior | biopsia de nervi periferic d extremitatsuperior
Q00752,sutura simple de nervi periferic | sutura simple de nervi periferic
Q00753,sutura simple de nervi periferic d extremitat inferior | sutura simple de nervi periferic d extremitat inferior
Q00754,sutura simple de nervi periferic d extremitat superior | sutura simple de nervi periferic d extremitat superior
Q00755,liberamiento de canal carpiano | alliberament la canal carpiana | alliberament de canal carpiana
Q00756,alliberament de canal tarsiana
Q00757,transposicio de nervi cubitat | transposicio de nervi cubital
Q00758,revisio tardana de lesio de nervi periferic | revisio tardana de lesio de nervi periferic
Q00759,revisio tardana de lesio de nervi periferic d extremitat inferior | revisio tardana de lesio de nervi periferic d extremitat inferior
Q00760,revisio tardana de lesio de nervi periferic d extremitat superior | revisio tardana de lesio de nervi periferic d extremitat superior
Q00761,sequestrectomia d extremitat inferior
Q00762,sequestrectomia d extremitat superior | sequestrectomia d extremitat superior
Q00763,perforacions ossies del genoll [tipus pridie] | perforacions ossies del genoll [tipus pridie]
Q00764,perforacions ossies del genoll [tipus pridie] (artroscopia) | perforacions ossies del genoll [tipus pridie] (per artroscopia)
Q00765,perforacio descompressiva (forage) de maluc | perforacio descompressiva (forage) de maluc
Q00766,perforacio descompressiva (forage) de maluc + cargol de suport mecanic | perforacio descompressiva (forage) de maluc + cargol de suport mecanic
Q00767,perforacions de la rotula (espongialitzacio) | perforacions de la rotula (espongialitzacio)
Q00768,osteotomia de valguitzacio de l extremitat inferior del femur | osteotomia de valguitzacio de l extremitat inferior del femur
Q00769,osteotomia de valguitzacio de l extremitat superior del femur | osteotomia de valguitzacio de l extremitat superior del femur
Q00770,osteotomia de varitzacio de l extremitat inferior del femur | osteotomia de varitzacio de l extremitat inferior del femur
Q00771,osteotomia de varitzacio de l extremitat superior del femur | osteotomia de varitzacio de l extremitat superior del femur
Q00773,osteotomia flexora de l extremitat inferior del femur | osteotomia flexora de l extremitat inferior del femur
Q00774,osteotomia de valguitzacio de l extremitat superior de la tibia | osteotomia de valguitzacio de l extremitat superior de la tibia
Q00775,osteotomia de varitzacio de l extremitat superior de la tibia | osteotomia de varitzacio de l extremitat superior de la tibia
Q00776,osteotomia extensora de l extremitat superior de la tibia | osteotomia extensora de l extremitat superior de la tibia
Q00777,osteotomia flexora de l extremitat superior de la tibia | osteotomia flexora de l extremitat superior de la tibia
Q00778,osteotomia de la pelvis [chiari] | osteotomia de la pelvis [chiari]
Q00779,osteotomia del coll humeral | osteotomia del coll humeral
Q00780,osteotomia de la diafisi humeral | osteotomia de la diafisi humeral
Q00781,osteotomia de l extremitat inferior de l humer | osteotomia de l extremitat inferior de l humer
Q00782,osteotomia de l extremitat inferior delcubit | osteotomia de l extremitat inferior delcubit
Q00783,osteotomia de l extremitat inferior delradi | osteotomia de l extremitat inferior delradi
Q00784,osteotomia de l extremitat superior de cubit o radi | osteotomia de l extremitat superior de cubit o radi
Q00785,osteotomia de carpians | osteotomia de carpians
Q00786,osteotomia de falanges de la ma | osteotomia de falanges de la ma
Q00787,osteotomia de metacarpians | osteotomia de metacarpians
Q00788,osteotomia rotatoria de l extremitat inferior del femur | osteotomia rotatoria de l extremitat inferior del femur
Q00789,osteotomia de rotula | osteotomia de rotula
Q00790,osteotomia de l extremitat inferior de la tibia | osteotomia de l extremitat inferior de la tibia
Q00791,osteotomia rotatoria de l extremitat superior de la tibia | osteotomia rotatoria de l extremitat superior de la tibia
Q00792,osteotomia de calcani | osteotomia de calcani
Q00793,osteotomia de metatarsianos | osteotomia de metatarsians
Q00794,osteotomies vertebrals
Q00795,osteotomies vertebrals en espondiloartritis anquilopoetica | osteotomies vertebrals en espondiloartritis anquilopoetica
Q00796,biopsia ossia de genoll | biopsia ossia de genoll
Q00797,biopsia ossia de genoll (artroscopia) | biopsia ossia de genoll (per artroscopia)
Q00798,biopsia ossia d extremitat inferior | biopsia ossia d extremitat inferior
Q00799,biopsia ossia d extremitat superior | biopsia ossia d extremitat superior
Q00800,puncio vertebral per a biopsia o cultiu | puncio vertebral per a biopsia o cultiu
Q00801,reparacion de dedo del pie de martillo | reparacio de dit del peu de martell | reparacio de dit del peu de martell
Q00802,reparacio de dit del peu d urpa | reparacio de dit del peu d urpa
Q00803,escapulectomia parcial | escapulectomia parcial
Q00804,reseccio de l extrem distal de la clavicula | reseccio de l extrem distal de la clavicula
Q00805,estiloidectomia radial | estiloidectomia radial
Q00806,reseccio parcial de l extremitat superior del radi | reseccio parcial de l extremitat superior del radi
Q00807,reseccio parcial de l olecran | reseccio parcial de l olecran
Q00808,reseccio parcial o total d un os del carp | reseccio parcial o total d un os del carp
Q00809,patel.lectomia parcial | patel.lectomia parcial
Q00810,cirurgia de la metastasi vertebral cervical per via anterior | cirurgia de la metastasi vertebral cervical per via anterior
Q00811,cirurgia de la mestastasi vertebral cervical por via posterior | cirurgia de la metastasi vertebral cervical per via posterior
Q00813,cirurgia de la metastasi vertebral toraco-lumbar per via post | cirurgia de la metastasi vertebral toraco-lumbar per via posterior
Q00814,corporectomia vertebral cervical
Q00815,corporectomia vertebral toraco-lumbar | corporectomia vertebral toraco-lumbar
Q00816,clidectomia total | clidectomia total
Q00817,escapulectomia total | escapulectomia total
Q00818,reseccio amplia de l espatlla per tumor | reseccio amplia de l espatlla per tumor
Q00819,reseccio total del brac per tumor | reseccio total del brac per tumor
Q00820,reseccio de la primera fila del carp | reseccio de la primera fila del carp
Q00821,patel.lectomia total | patel.lectomia total
Q00822,astragalectomia | astragalectomia
Q00823,vertebrectomia | vertebrectomia
Q00824,empelt ossi a l escafoide [matti-russe] | empelt ossi a l escafoide [matti-russe]
Q00825,espongioplastia transpedicular | espongioplastia transpedicular
Q00827,escurcament de l avantbrac (cubit i radi) | escurcament de l avantbrac (cubit i radi)
Q00834,allargament de l avantbrac (cubit i radi) | allargament de l avantbrac (cubit i radi)
Q00835,allargament de la cuixa (femur) | allargament de la cuixa (femur)
Q00836,allargament de la cama (tibia i perone) | allargament de la cama (tibia i perone)
Q00837,vertebroplastica percutania | vertebroplastia percutania | vertebroplastica percutania
Q00838,ligamentotaxi vertebral pedicular
Q00839,extraccio de mo de maluc (placa) | extraccio de mo de maluc
Q00840,extraccio de mo de maluc: agulles k | extraccio de mo de maluc: agulles de kirschner
Q00841,extraccio de mo de maluc: cargol-placa lliscant | extraccio de mo de maluc: cargol-placa lliscant
Q00842,extraccio de mo de maluc: cargols | extraccio de mo de maluc: cargols
Q00843,extraccio de mo de maluc: cerclatge | extraccio de mo de maluc: cerclatge
Q00844,extraccio de mo de maluc: clau gamma | extraccio de mo de maluc: clau gamma
Q00845,extraccio de mo de maluc: clau pfn | extraccio de mo de maluc: clau pfn
Q00846,extraccio de mo de maluc: clau-placa monobloc | extraccio de mo de maluc: clau-placa monobloc
Q00847,extraccio de mo de columna | extraccio de mo de columna
Q00848,extraccio de mo de columna: clicks | extraccio de mo de columna: clicks
Q00849,extraccio de mo de columna: diapaso | extraccio de mo de columna: diapaso
Q00851,extraccio de mo de columna: synergy | extraccio de mo de columna: synergy
Q00852,extraccio de mo de columna: uss | extraccio de mo de columna: uss
Q00853,reduccio incruenta de fractura vertebral + cotilla de guix | reduccio incruenta de fractura vertebral + cotilla de guix
Q00854,reduccio incruenta de fractura vertebral + cotilla de guix <local> | reduccio incruenta de fractura vertebral + cotilla de guix <local>
Q00855,osteosintesi de maluc | osteosintesi de maluc
Q00856,osteosintesi de femur: agulles k | osteosintesi de maluc: agulles de kirschner
Q00857,osteosintesi de femur:cargol-placa lliscant (135o) [dhs] | osteosintesi de maluc: cargol-placa lliscant
Q00858,"osteosintesi de femur, cargols canulats | osteosintesi de maluc: cargols canulats"
Q00859,osteosintesi de femur: cerclatge | osteosintesi de maluc: cerclatge
Q00860,osteosintesis de femur: clavo endomedular corto [pfn o gamma] | osteosintesi de maluc: clau  endomedul*lar curt (pfn o gamma) | osteosintesi de femur: clau endomedul.lar curt [pfn o gamma]
Q00861,osteosintesi de maluc:clau endomedul.lar llarg [pfn o gamma] | osteosintesi de maluc: clau  endomedul*lar llarg (pfn o gamma)
Q00862,osteosintesi de femur: clau-placa monobloc | osteosintesi de maluc: clau-placa monobloc
Q00863,reinsercio de trocanter major | reinsercio de trocanter major
Q00864,cirurgia reparadora de l espondilolistesi (els) | cirurgia reparadora de l espondilolistesi (els)
Q00865,osteosintesi de la simfisi pubiana | osteosintesi de la simfisi pubiana
Q00866,osteosintesi vertebral anterior en fractures | osteosintesi vertebral anterior en fractures
Q00867,osteosintesi vertebral combinada (anterior i posterior) en fractures | osteosintesi vertebral combinada (anterior i posterior) en fractures
Q00868,osteosintesi vertebral posterior de fractures | osteosintesi vertebral posterior en fractures
Q00869,extraccio de protesi de colze (sense recanvi) | extraccio de protesi de colze
Q00870,extraccio de protesi de genoll i artrodesi | extraccio de protesi de genoll i artrodesi
Q00871,extraccio de protesi de genoll i col.locacio d espaiador | extraccio de protesi de genoll i col.locacio d espaiador
Q00873,artrotomia simple d espatlla | artrotomia simple d espatlla
Q00874,artrotomia simple de colze | artrotomia simple de colze
Q00875,artrotomia simple de canell | artrotomia simple de canell
Q00876,artrotomia simple de ma i dits | artrotomia simple de ma i dits
Q00877,limpieza quirurgica de infeccion de protesis de cadera (dair): recambio de cabez | neteja quirurgica d infeccio de proteside maluc | neteja quirurgica d infeccio de proteside maluc ( dair): recanvi de cap i/o pol
Q00878,artrotomia simple de genoll
Q00879,artrotomia simple de turmell | artrotomia simple de turmell
Q00880,artroscopia de hombro | artroscopia d espatlla | artroscopia d espatlla
Q00881,artroscopia de colze | artroscopia de colze
Q00882,artroscopia de canell | artroscopia de canell
Q00883,artroscopia de metacarpo-falangia | artroscopia de metacarpo-falangia
Q00884,artroscopia de cadera | artroscopia de maluc | artroscopia de maluc
Q00885,artroscopia de rodilla | artroscopia de genoll | artroscopia de genoll
Q00886,artroscopia de turmell | artroscopia de turmell
Q00887,biopsia articular d espatlla | biopsia articular d espatlla
Q00888,biopsia articular de colze | biopsia articular de colze
Q00889,biopsia articular de canell | biopsia articular de canell
Q00890,biopsia articular de ma i dits | biopsia articular de ma i dits
Q00891,biopsia articular de maluc | biopsia articular de maluc
Q00892,biopsia articular de genoll (artroscopia) | biopsia articular de genoll (per artroscopia)
Q00893,biopsia articular de turmell | biopsia articular de turmell
Q00894,capsulotomia o capsulectomia d espatlla | capsulotomia o capsulectomia d espatlla
Q00895,capsulotomia o capsulectomia de colze | capsulotomia o capsulectomia de colze
Q00896,capsulotomia o capsulectomia de canell | capsulotomia o capsulectomia de canell
Q00897,capsulotomia o capsulectomia de ma i dits | capsulotomia o capsulectomia de ma i dits
Q00898,capsulotomia o capsulectomia de maluc | capsulotomia o capsulectomia de maluc
Q00899,capsulotomia o capsulectomia de genoll | capsulotomia o capsulectomia de genoll
Q00900,regularitzacio (shaving) de cartilag degenoll | regularitzacio (shaving) de cartilag degenoll
Q00901,regularitzacio (shaving) de cartilag degenoll (artroscopia) | regularitzacio (shaving) de cartilag degenoll (per artroscopia)
Q00902,reseccio de l aleta externa de genoll [ficat] | reseccio de l aleta externa de genoll [ficat]
Q00903,capsulotomia o capsulectomia de turmell | capsulotomia o capsulectomia de turmell
Q00904,capsulotomia o capsulectomia de peu i dits | capsulotomia o capsulectomia de peu i dits
Q00905,discectomia cervical | discectomia cervical
Q00906,discectomia lumbar
Q00907,discectomia lumbar percutania | discectomia lumbar percutania
Q00908,meniscectomia de genoll  (artroscopia) | meniscectomia de genoll (per artroscopia)
Q00909,sinovectomia d espatlla | sinovectomia d espatlla
Q00910,sinovectomia d espatlla (artroscopia) | sinovectomia d espatlla (per artroscopia)
Q00911,sinovectomia de colze | sinovectomia de colze
Q00912,sinovectomia de colze (artroscopia) | sinovectomia de colze (per artroscopia)
Q00913,sinovectomia de canell | sinovectomia de canell
Q00914,sinovectomia de mano y dedos | sinovectomia de ma i dits | sinovectomia de ma i dits
Q00915,sinovectomia de genoll | sinovectomia de genoll
Q00916,sinovectomia de genoll (artroscopia) | sinovectomia de genoll (per artroscopia)
Q00917,sinovectomia de peu i dits | sinovectomia de peu i dits
Q00918,sinovectomia de turmell | sinovectomia de turmell
Q00919,artrolisis de rodilla | artrolisi de genoll | artrolisi de genoll
Q00920,astrolisi de genoll (artroscopia) | artrolisi de genoll (per artroscopia)
Q00921,artroplastia de reseccio d espatlla | artroplastia de reseccio d espatlla
Q00922,artroplastia de reseccio de colze | artroplastia de reseccio de colze
Q00923,cirurgia mobilitzadora de l articulaciocarpo-metacarpiana | cirurgia mobilitzadora de l articulaciocarpo-metacarpiana
Q00924,cirurgia mobilitzadora de l articulaciointerfalangia | cirurgia mobilitzadora de l articulaciointerfalangia
Q00925,cirurgia mobilitzadora de l articulaciometacarpo-falangia | cirurgia mobilitzadora de l articulaciometacarpo-falangia
Q00926,artroplastia de reseccio de maluc (girdlestone) | artroplastia de reseccio de maluc [girdlestone]
Q00927,reseccio articular de genoll | reseccio articular de genoll
Q00928,artrodesi vertebral amb osteosintesi d articulars posteriors | artrodesi vertebral amb osteosintesi d#articulars posteriors
Q00929,artrodesi vertebral anterolateral intersomatica (alif) | artrodesi vertebral anterolateral intersomatica (alif)
Q00931,artrodesi vertebral cervical instrumentada circumferencial (360o) | artrodesi vertebral cervical instrumentada circumferencial (360o)
Q00932,artrodesi vertebral circumferencial(360o) | artrodesi vertebral circumferencial (360o)
Q00933,artrodesi vertebral pedicular | artrodesi vertebral pedicular
Q00934,artrodesi vertebral transforaminal intersomatica (tlif) | artrodesi vertebral transforaminal intersomatica (tlif)
Q00935,cirurgia de l espondilolistesi degenerativa de l adult | cirurgia de l espondilolistesi degenerativa de l#adult
Q00936,cirurgia de l espondilolistesi del desenvolupament | cirurgia de l espondilolistesi del desenvolupament
Q00937,cirurgia de l espondilolistesi traumatica per estres | cirurgia de l espondilolistesi traumatica per estres
Q00938,correccio quirurgica de la cifosi vertebral | correccio quirurgica de la cifosi vertebral
Q00939,correccio quirurgica de l escoliosi degenerativa de l adult | correccio quirurgica de l escoliosi degenerativa de l#adult
Q00940,correccio quirurgica de l escoliosi idiopatica | correccio quirurgica de l escoliosi idiopatica
Q00941,curetatge i artrodesi vertebral anterior en tuberculosi | legrat i artrodesi vertebral anterior en tuberculosi
Q00942,curetatge i artrodesi vertebral ant en tuberculosi + artrodesi vertebral pedicul | legrat i artrodesi vertebral anterior en tuberculosi + artrodesi vertebral pedic
Q00943,cirurgia de la inestabilitat del raquiscervical sup (occipito-atlanto-axial) | cirurgia de la inestabilitat del raquiscervical superior (occipito-atlanto-axia
Q00944,artrodesi vertebral cervical anterior amb espaiador intersomatic | artrodesi vertebral cervical anterior amb espaiador intersomatic
Q00945,artrodesi vertebral cervical anterior amb placa | artrodesi vertebral cervical anterior amb placa
Q00946,artodesis vertebral cervical posterior instrumentada | artrodesi vertebral cervical posterior instrumentada | artrodesi vertebral cervical posterior instrumentada
Q00947,artrodesi vertebral lumbo-sacra amb osteosintesi a iliacs (galveston) | artrodesi vertebral lumbo-sacra amb osteosintesi a iliacs (galveston)
Q00948,artrodesi de turmell: tibio-astragalina(ta) | artrodesi de turmell: tibio-astragalina(ta)
Q00949,artrodesi doble de turmell: subastragalina i mediotarsiana | artrodesi doble de turmell: subastragalina i mediotarsiana
Q00950,"artrodesi triple de turmell:tibio-astragalina, subastragalina i mediotarsiana | artrodesi triple de turmell: tibio-astragalina, subastragalina i mediotarsiana"
Q00951,artrodesi de turmell: subastragalina (sa) | artrodesi de turmell: subastragalina (sa)
Q00952,artrodesi de turmell:mediotarsiana (chopart) | artrodesi de turmell: mediotarsiana [chopart]
Q00953,artrodesis de pie: tarso-metatarsiano | artrodesi de peu: tarso-metatarsiana | artrodesi de peu: tarso-metatarsiana
Q00954,artrodesi de peu: metatarso-falangia | artrodesi de peu: metatarso-falangia
