diag_ref,catalog,code,diag_descr
6009828,12,H05.02,Osteomielitis orbitaria
6009829,1,003.24,Osteomielitis por salmonella
6009830,1,730.2,Osteomielitis no especificada
6009831,1,730.21,Osteomielitis no especificada hombro
6009832,1,730.22,Osteomielitis no especificada brazo
6009833,1,730.23,Osteomielitis no especificada antebrazo
6009834,1,730.24,Osteomielitis no especificada mano
6009835,1,730.25,Osteomielitis no especificada pelvis y muslo
6009836,1,730.26,Osteomielitis no especificada pierna
6009837,1,730.27,Osteomielitis no especificada tobillo y pie
6009838,1,730.29,Osteomielitis no especificada localiz. multiple
6009839,1,730.3,Periostitis sin mencion de osteomilitis
6009840,1,730.34,Periostitis sin mencion de osteomielitis mano
6009841,1,730.36,Periostitis sin mencion de osteomielitis pierna
6009842,1,730.39,Periostitis sin mencion de osteomielitis localiz.multiple
6009843,1,730.9,Infeccion osea no especificada
6009844,1,730.92,Infeccion osea no especificada brazo
6009845,1,730.94,Infeccion osea no especificada mano
6009846,1,730.95,Infeccion osea no especificada pelvis y muslo
6009847,1,730.96,Infeccion osea no especificada pierna
6009848,12,M86.9,"Osteomielitis, no especificada"
6009849,12,M87.9,"Osteonecrosis, no especificada"
6009850,1,730.76,Osteopatia resultado de poliomielitis pierna
6009851,1,756.52,Osteopetrosis
6009852,1,733,Otros trastornos de cartilago y huesos
6009853,1,733.01,Osteoporosis senil
6009854,12,M81.0,"Osteoporosis relacionada con la edad, sin fractura patológica actual"
6009855,12,M80.059A,"Osteoporosis relacionada con la edad con fractura patológica actual, fémur no especificado, contacto inicial por fractura"
6009856,1,388.7,Otalgia
6009857,12,H92.0,Otalgia
6009858,1,112.82,Otitis externa candidal
6009859,1,380.1,Otitis externa infecciosa neom
6009860,1,380.14,Otitis externa maligna
6009861,12,H60.2,Otitis externa maligna
6009862,12,H60.20,"Otitis externa maligna, oído no especificado"
6009863,1,380.15,Otitis externo micotica cronica
6009864,1,381.02,Otitis media mucoide aguda
6009865,1,381.2,Otitis media mucoide cronica
6009866,1,382.9,Otitis media neom
6009867,1,381,Otitis media no supurativa aguda neom
6009868,1,381.4,"Otitis media no supurativa, no especificada aguda ni cronica"
6009869,1,381.01,Otitis media serosa aguda
6009870,1,381.1,Otitis media serosa cronica
6009871,1,382.02,Otitis media supuraiva aguda en enf. clas. otros concept.
6009872,1,382,Otitis media supurat. aguda no ruptura membrana timpanica
6009873,1,382.01,Otitis media supurativa aguda ruptura membrana timpanica
6009874,1,382.2,Otitis media supurativa aticoantral cronica
6009875,1,382.3,Otitis media supurativa cronica no especificada
6009876,1,382.4,Otitis media supurativa neom
6009877,1,382.1,Otitis media supurativa tubotimpanica cronica
6009878,12,H66.91,"Otitis media, no especificada, oído derecho"
6009879,1,388.6,Otorrea
6009880,12,H92.1,Otorrea
6009881,1,387,Otosclerosis
6009882,1,387.2,Otosclerosis coclear
6009883,1,387.0,Otosclerosis con implicacion de ventana oval no obliterativa
6009884,1,387.1,Otosclerosis con implicacion de ventana oval obliterativa
6009885,1,387.9,Otosclerosis neom
6009886,1,658.81,Otr alter cavid/memb amniot ncoc parida c/s pat antepar/part
6009887,1,673.81,"Otr embolia pulmonar obstetr parida, con o sin mencion de estado antepartoo"
6009888,1,671.51,Otr flebitis/trombosis emba/puer parida c/s pat antepar/part
6009889,1,803.46,Otr frac cerr cran ncoc/otra les intracran neom perd. conocimiento neom
6009890,1,803.45,Otr frac cerr cran ncoc/otra les intracran neom perd. conocimiento profund
6009891,1,675.82,"Otr infe esp mam/pezo emba/par/puer parida, complic postpart"
6009892,1,853.15,Otr/neom hem intracra traumat her intracr abier coma profund
6009893,1,853.14,Otr/neom hem intracra traumat her intracr abier coma prolong
6009894,1,853.1,Otr/neom hem intracra traumat her intracr abier conocim neom
6009895,1,853.11,Otr/neom hem intracra traumat her intracr abier sin coma
6009896,1,853.09,Otr/neom hem intracra traumat no her intracr abi conmoc neom
6009897,1,853.03,Otr/neom hem intracra traumat no her intracr abie coma moder
6009898,1,853.05,Otr/neom hem intracra traumat no her intracr abie coma profu
6009899,1,853.04,Otr/neom hem intracra traumat no her intracr abie coma prolo
6009900,1,853,Otr/neom hem intracra traumat no her intracr abie conoc neom
6009901,1,853.02,Otr/neom hem intracra traumat no her intracr abier coma brev
6009902,1,853.06,Otr/neom hem intracra traumat no her intracr abier coma neom
6009903,1,853.01,Otr/neom hem intracra traumat no her intracr abier sin coma
6009904,1,851.95,Otr/neom lacer/contus cerebr her intracr abier coma profundo
6009905,1,851.99,Otr/neom lacer/contus cerebr her intracr abier conmocio neom
6009906,1,851.91,Otr/neom lacer/contus cerebr herid intracr abier sin coma
6009907,1,851.85,Otr/neom lacer/contus cerebr no her intracr abi coma profund
6009908,1,851.89,Otr/neom lacer/contus cerebr no herid intr abie conmoci neom
6009909,1,851.86,Otr/neom lacer/contus cerebr no herid intracr abie coma neom
6009910,1,851.83,Otr/neom lacera/contus cerebr no herid intracr ab coma moder
6009911,1,851.82,Otr/neom lacera/contus cerebr no herid intracr abi coma brev
6009912,1,851.81,Otr/neom lacera/contus cerebr no herid intracr abie sin coma
6009913,1,851.8,Otr/neom lacerac/contus cerebr no herid intr abie conoc neom
6009914,1,291.89,Otr0s trastornos mentales inducidos por alcohol 
6009915,1,663.23,Otra  vuelta/enredo neom cordon con compresion complic anteparto
6009916,1,579.8,Otra absorcion intestinal defectuosa especificada
6009917,1,775.81,Otra acidosis del recien nacido 
6009918,1,E029.9,Otra actividad
6009919,1,E005.9,Otra actividad relacionada con baile y otros movimientos ritmicos
6009920,1,E004.9,"Otra actividad relacionada con escalada, rappel y saltos"
6009921,1,E003.9,Otra actividad relacionada con hielo y nieve
6009922,1,E006.9,Otra actividad relacionada con otros deportes y atletismo practicada individualmente
6009923,1,E007.9,Otra actividad relacionada con otros deportes y atletismo practicados en equipo o en grupo
6009924,1,E014.9,Otra actividad relacionada con personas que proporcionan cuidados
6009925,1,648.91,"Otra afectacion embarazo/parto puerperio parto, con o sin mencion de estado anteparto"
6009926,1,648.92,"Otra afectacion embarazo/parto puerperio parto, con o sin mencion de estado anteparto"
6009927,1,648.94,Otra afectacion en emba/parto/puerperio estado o complic postparto
6009928,1,648.93,Otra afectacion en embarazo estado o complicacion de anteparto
6009929,1,995.27,Otra alergia a farmaco 
6009930,1,656.81,"Otra alt espec feto/placenta parida, con o sin mencion de estado anteparto"
6009931,1,658.83,Otra alterac cavidad/membr amnioticas ncoc complic anteparto
6009932,1,656.83,Otra alteracion espec feto/placenta complicacion anteparto
6009933,1,656.73,Otra alteracion placenta complicacion anteparto
6009934,1,656.7,Otra alteracion placenta epi. de cuidados neom
6009935,1,656.71,Otra alteracion placenta parida con/sin patol antepart/parto
6009936,12,R41.3,Otra amnesia
6009937,1,284.09,Otra anemia aplasica constitucional 
6009938,1,788.69,Otra anomalia de la miccion
6009939,1,756.19,Otra anomalia vertebral  otros no codificados
6009940,1,654.41,Otra anormal forma/posicion uter parida c/s pato antepa/part
6009941,1,654.43,Otra anormal forma/posicion utero complicacion anteparto
6009942,1,654.44,Otra anormal forma/posicion utero complicacion de puerperio
6009943,1,654.42,"Otra anormal forma/posicion utero parida, complic. postparto"
6009944,1,654.63,Otra anormal. cervix uterino complicacion anteparto
6009945,1,654.64,Otra anormal. cervix uterino complicacion de puerperio
6009946,1,654.61,"Otra anormal. cervix uterino parida, c/s patol antepar/parto"
6009947,1,655.8,Otra anormalidad fetal ncoc epi. de cuidados neom
6009948,1,327.29,Otra apnea del sueño organica 
6009949,1,716.83,Otra artropatia especificada antebrazo
6009950,1,716.82,Otra artropatia especificada brazo
6009951,1,716.81,Otra artropatia especificada hombro
6009952,1,716.84,Otra artropatia especificada mano
6009953,1,716.85,Otra artropatia especificada pelvis y muslo
6009954,1,716.86,Otra artropatia especificada pierna
6009955,1,716.87,Otra artropatia especificada tobillo y pie
6009956,1,789.59,Otra ascitis
6009957,1,V26.8,Otra asistencia procreativa especificada
6009958,1,V26.89,Otra asistencia procreativa especificada 
6009959,1,770.18,Otra aspiracion fetal y del recien nacido con sintomas respiratorios 
6009960,1,770.5,Otra atelectasia y atelectasia no especif.rn y feto
6009961,1,440.29,Otra aterosclerosis
6009962,1,364.59,Otra atrofia del iris
6009963,1,E888.8,Otra caida 
6009964,1,E884.9,Otra caida desde un nivel a otro  otros no codificados
6009965,1,E886.9,Otra caida mismo nivel no especificado
6009966,1,E835.8,Otra caida y caida de barco n.e pers.especif. otros no codif
6009967,1,E835.3,Otra caida y caida de barco n.e. pasajero
6009968,1,E835.2,Otra caida y caida de barco n.e. tripulacion
6009969,1,E888,Otra caida y caida no especificada
6009970,12,B37.49,Otra candidiasis urogenital
6009971,1,366.52,"Otra catarata secundaria, sin oscurecimiento de vision"
6009972,1,682,Otra celulitis y absceso
6009973,1,737.19,Otra cifosis 
6009974,1,V62.29,Otra circunstancia o inadaptacion profesional
6009975,12,Z40.8,Otra cirugia profilactica
6009976,12,Y83.4,Otra cirugia reconstructiva
6009977,1,E878.4,Otra cirugia restauradora otros no codificados
6009978,1,595.2,Otra cistitis cronica
6009979,1,996.09,Otra complic mecanica dispositiv/implantac/injerto cardiacos
6009980,1,671.83,Otra complic. venosa emba/puerp complic.icacion anteparto
6009981,1,671.81,"Otra complic. venosa emba/puerp parida, c/s patol antepart/part"
6009982,1,671.82,"Otra complic. venosa emba/puerp parida, complic.icacion postparto"
6009983,1,674.84,Otra complicac puerperal ncoc complicacion de puerperio
6009984,1,674.82,"Otra complicac puerperal ncoc parida, complicacion postparto"
6009985,1,663.81,Otra complicacion cordon parida c/sin patolog antepart/parto
6009986,1,596.83,Otra complicacion de cistostomia
6009987,1,646.82,"Otra complicacion espec embarazo parto, con mencion de complicacion postparto"
6009988,1,646.81,"Otra complicacion espec embarazo parto, con o sin mencion de estado anteparto"
6009989,1,646.83,Otra complicacion especifica embarazo estado o complicacion anteparto
6009990,1,646.84,Otra complicacion especifica embarazo estado o complicacion postparto
6009991,12,T84.89XA,"Otra complicación especificada de prótesis, implantes e injertos ortopédicos internos, contacto inicial"
6009992,12,T82.898A,"Otra complicación especificada de prótesis, implantes e injertos vasculares, contacto inicial"
6009993,1,996.49,"Otra complicacion mecanica de dispositivo ortopedico interno, implante, e injerto "
6009994,1,996.47,Otra complicacion mecanica de implante articular protesico
6009995,1,671.8,Otra complicacion venosa embar/puerp epi. de cuidados neom
6009996,12,M16.6,"Otra coxartrosis secundaria, bilateral"
6009997,1,368.59,Otra deficiencia de vision de colores
6009998,1,736.29,Otra deformacion adquirida dedo mano  otros no codificados
6009999,1,735.8,Otra deformacion adquirida dedos pie  otros no codificados
6010000,1,736.6,Otra deformacion adquirida rodilla  otros no codificados
6010001,1,736.09,Otra deformacion antebrazo  otros no codificados
6010002,1,738.5,Otra deformidad adquirida de espalda o columna vertebral
6010003,1,736.39,Otra deformidad adquirida de la cadera  otros no codificados
6010004,1,736.79,Otra deformidad adquirida tobillo pie  otros no codificados
6010005,1,736.76,Otra deformidad calcaneo  otros no codificados
6010006,1,755.63,Otra deformidad congenita de cadera (articulacion)
6010007,1,754.79,Otra deformidad congenita del pie ncoc
6010008,1,331.89,Otra degeneracion cerebral
6010009,1,331.19,Otra demencia frontotemporal 
6010010,1,303.91,Otra dependencia alcoholica y neom   continua
6010011,1,303.93,Otra dependencia alcoholica y neom   en vias de remision
6010012,1,303.92,Otra dependencia alcoholica y neom   episodica
6010013,1,303.9,Otra dependencia alcoholica y neom   neom
6010014,1,304.61,Otra dependencia de drogas especificada   continua
6010015,1,304.63,Otra dependencia de drogas especificada   en remision
6010016,1,304.62,Otra dependencia de drogas especificada   episodica
6010017,1,304.6,Otra dependencia de drogas especificada   neom
6010018,1,787.29,Otra disfagia
6010019,1,288.59,Otra disminucion del recuento de globulos blancos 
6010020,12,D72.818,Otra disminucion del recuento de globulos blancos 
6010021,1,786.09,Otra disnea y alteracion respiratorias
6010022,1,752.35,Otra duplicacion del utero
6010023,12,Q51.2,Otra duplicacion del utero
6010024,12,Q51.28,Otra duplicación del útero y las no especificadas
6010025,1,659.6,Otra edad avanzada de la madre sin especif. epi. cuidad.
6010026,1,659.63,"Otra edad avanzada madre, estado o complicacion anteparto"
6010027,1,659.61,"Otra edad avanzada madre, parto con/sin menc. estado antepar"
6010028,12,I26.09,Otra embolia pulmonar con cor pulmonale agudo
6010029,1,673.83,Otra embolia pulmonar obstetrica complicacion anteparto
6010030,1,673.84,Otra embolia pulmonar obstetrica complicacion de puerperio
6010031,12,I26.99,Otra embolia pulmonar sin cor pulmonale agudo
6010032,1,058.29,Otra encefalitis por herpesvirus humano
6010033,1,323.62,Otra encefalitis y encefalomielitis postinfecciosa 
6010034,1,348.39,Otra encefalopatia
6010035,1,648.61,"Otra enf. cardiova embarazo/parto puerperio parto, con o sin mencion de estado anteparto"
6010036,1,648.62,"Otra enf. cardiovas embarazo/parto puerperioe parto, con mencion de complicacion postparto"
6010037,1,648.64,Otra enf. cardiovasc embarazo/parto puerperio estado o complicac. postparto
6010038,1,648.63,Otra enf. cardiovascular en embarazo estado o complicacion anteparto
6010039,1,437.1,Otra enf. cerebrovascular isquemica generalizada
6010040,1,676.82,"Otra enf. lactancia parida, complicacion postparto"
6010041,1,676.81,"Otra enf. lactancia parida, con/sin patolog antepart/parto"
6010042,1,647.21,"Otra enf. venereas embarazo/parto/puerperio parto, con o sin mencion de estado anteparto"
6010043,1,676.34,Otra enf. y enf. neom mama complicacion de puerperio
6010044,1,676.31,"Otra enf. y enf. neom mama parida, con o sin mencion de estado anteparto"
6010045,12,I67.89,Otra enfermedad cerebrovascular
6010046,1,046.19,Otra enfermedad de creutzfeldt jakob y la no especificada
6010047,1,282.69,Otra enfermedad drepanocitica con crisis 
6010048,1,282.68,Otra enfermedad drepanocitica sin crisis 
6010049,1,288.8,Otra enfermedad especificada de globulos blancos
6010050,1,521.8,Otra enfermedad especificada de tejido duro de diente
6010051,1,443.89,Otra enfermedad vascular periferica especificada
6010052,1,726.39,Otra entesopatia codo 
6010053,1,726.69,Otra entesopatia rodilla 
6010054,1,726.79,Otra entesopatia tobillo 
6010055,1,379.09,Otra escleritis y episcleritis ncoc
6010056,1,845.19,Otra esguince y torcedura de pie
6010057,1,842.19,Otra esguince/torcedura de mano
6010058,1,842.09,Otra esguince/torcedura de muñeca
6010059,1,845.09,Otra esguince/torcedura de tobillo
6010060,1,295.83,Otra esquizofrenia especif.   subcronica/exacerbacion aguda
6010061,1,295.82,Otra esquizofrenia especificada   cronica
6010062,1,295.84,Otra esquizofrenia especificada   cronica/exacerbacion aguda
6010063,1,671.53,Otra flebitis/trombosis emba/puer complicacion anteparto
6010064,1,803.91,Otra fr cra.y fr cra. neom abie.con lesion intracr. y contusion cereb.sin per.cononocimiento
6010065,1,803.36,Otra fr craneoy no calif.cerr.con hem.intracr.perd.con.no especif
6010066,1,803.31,Otra fr craneoy no calif.cerr.con hemorr.intracr.sin perdida conoc
6010067,1,803.61,Otra fract abier craneo lacer/contusion cerebr sin perd. conocimiento
6010068,1,803.85,Otra fract abier craneo/otra hemor intracran neom perd. conocimiento profu
6010069,1,803.12,Otra fract cerrad cran ncoc lacer/contus cerebr perd. conocimiento breve
6010070,1,803.16,Otra fract cerrad cran ncoc lacer/contus cerebr perd. conocimiento neom
6010071,1,803.15,Otra fract cerrad cran ncoc lacer/contus cerebr perd. conocimiento profund
6010072,1,803.22,Otra fract cerrad cran ncoc/hemorragia meninge perd. conocimiento breve
6010073,1,803.23,Otra fract cerrad cran ncoc/hemorragia meninge perd. conocimiento moderado
6010074,1,803.26,Otra fract cerrad cran ncoc/hemorragia meninge perd. conocimiento neom
6010075,1,803.25,Otra fract cerrad cran ncoc/hemorragia meninge perd. conocimiento profundo
6010076,1,803.21,Otra fract cerrad cran ncoc/hemorragia meninge sin perd. conocimiento
6010077,1,803.06,Otra fract cerrad craneo ncoc sin les intracran perd. conocimiento neom
6010078,1,803.05,Otra fract cerrad craneo ncoc sin les intracran perd. conocimiento profund
6010079,1,803.01,Otra fract cerrad craneo ncoc sin les intracran sin perd. conocimiento
6010080,1,803.74,Otra fractura abierta craneo/hemorragia meninge perd. conocimiento prolong
6010081,1,803.71,Otra fractura abierta craneo/hemorragia meninge sin perd. conocimiento
6010082,1,803.2,Otra fractura cerrada craneo ncoc con hemorragia meninge
6010083,1,803.1,Otra fractura craneal cerrada ncoc lacerac/contusion cerebro
6010084,1,803.3,"Otra fractura craneal cerrada ncoc, con otra hemorr.intracr.no especific"
6010085,1,803,"Otra fractura craneal cerrada ncoc, sin lesion intracraneal"
6010086,1,790.29,Otra glucosa anormal 
6010087,1,342.81,Otra hemiplejia especif. afectacion de lado dominante
6010088,1,342.82,Otra hemiplejia especif. afectacion de lado no dominante
6010089,1,342.8,Otra hemiplejia especif. afectacion de lado no especificado
6010090,1,641.83,Otra hemorragia anteparto estado o complicacion anteparto
6010091,1,641.81,"Otra hemorragia anteparto parto, con o sin mencion de estado anteparto"
6010092,1,873,Otra herida abierta de cabeza
6010093,1,551.29,Otra hernia ventral gangrenada
6010094,1,552.29,Otra hernia ventral obstructiva
6010095,1,255.3,Otra hiperactividad corticosuprarrenal
6010096,12,E27.0,Otra hiperactividad corticosuprarrenal
6010097,12,E78.4,Otra hiperlipidemia
6010098,1,327.19,Otra hipersomnia organica 
6010099,1,642.22,"Otra hipert preexist embar/par/puerp parto, con mencion de complic postpart"
6010100,1,642.21,"Otra hipert preexist embar/par/puerp parto, con o sin mencion de estado anteparto"
6010101,1,642.24,Otra hipert preexist embar/parto/puerp estado o complicacion postparto
6010102,1,642.23,Otra hipert preexist embarazo estado o complicacion antepart
6010103,12,I27.29,Otra hipertensión pulmonar secundaria
6010104,12,P71.1,Otra hipocalcemia neonatal
6010105,1,458.8,Otra hipotension especificada
6010106,1,458.29,Otra hipotension yatrogenica 
6010107,1,560.39,Otra impactacion intestinal
6010108,1,788.39,Otra incontinencia urinaria
6010109,1,659.81,Otra indicac espec asisten parto parida c/s pat antepar/part
6010110,1,659.83,Otra indicac espec de asistencia parto complicac anteparto
6010111,1,999.31,Otra infeccion e infeccion no especificada por cateter venoso central 
6010112,12,T80.21,Otra infeccion e infeccion no especificada por cateter venoso central 
6010113,1,686.8,Otra infeccion local especificada de piel/tejidos subcutaneo
6010114,1,058.89,Otra infeccion por herpesvirus humano
6010115,12,B10.8,Otra infeccion por herpesvirus humano
6010116,1,670.84,Otra infeccion puerperal grave estado o complicacion postparto
6010117,1,670.82,"Otra infeccion puerperal grave parida, complicacion postparto"
6010118,1,999.3,Otra infeccion que complica atencion medica
6010119,1,122.3,Otra infestacion por eq.granulosus
6010120,1,122.6,Otra infestacion por eq.multilocularis
6010121,1,607.2,Otra inflamacion de pene
6010122,1,616.8,"Otra inflamacion especificada de cervix, vagina y vulva"
6010123,1,355.2,Otra lesion de nervio femoral
6010124,1,354.1,Otra lesion del nervio mediano
6010125,1,E906.8,Otra lesion especificada causada  por animales
6010126,1,915.9,Otra lesion superf/lesion superf neom en dedo mano infectada
6010127,1,915.8,Otra lesion superf/lesion superf neom en dedo mano no infect
6010128,1,911.9,Otra lesion superf/lesion superf neom en tronco infectada
6010129,1,916.9,Otra lesion superf/neom cadera/muslo/pierna/tobill infectada
6010130,1,916.8,Otra lesion superf/neom cadera/muslo/pierna/tobill no infect
6010131,1,912.9,Otra lesion superf/neom en hombro/brazo super infectada
6010132,1,912.8,Otra lesion superf/neom en hombro/brazo super no infectada
6010133,1,917.9,Otra lesion superf/neom en pie/dedo(s) pie infectada
6010134,1,917.8,Otra lesion superf/neom en pie/dedo(s) pie sin infeccion
6010135,1,914.9,Otra lesion superfic/lesion superf neom en mano infectada
6010136,1,914.8,Otra lesion superfic/lesion superf neom en mano no infectada
6010137,1,913.9,Otra lesion superficial/neom en codo/antebr/muñeca infectada
6010138,1,913.8,Otra lesion superficial/neom en codo/antebr/muñeca no infect
6010139,1,835.13,Otra luxacion anterior de cadera abierta
6010140,1,835.03,Otra luxacion anterior de cadera cerrada
6010141,1,832.19,Otra luxacion de codo abierta
6010142,1,832.09,Otra luxacion de codo cerrada
6010143,1,831.09,Otra luxacion de hombro cerrada
6010144,1,833.19,Otra luxacion de muñeca abierta
6010145,1,833.09,Otra luxacion de muñeca cerrada
6010146,1,838.19,Otra luxacion de pie abierta
6010147,1,838.09,Otra luxacion de pie cerrada
6010148,1,836.69,"Otra luxacion de rodilla, ncoc abierta"
6010149,1,836.59,"Otra luxacion de rodilla, ncoc cerrada"
6010150,1,652.83,Otra malposicion especificada complicacion anteparto
6010151,1,652.81,"Otra malposicion especificada parida, con o sin mencion de estado anteparto"
6010152,1,336.8,Otra mielopatia
6010153,1,173.49,Otra neoplasia maligna especificada de cuero cabelludo y piel del cuello
6010154,1,173.89,Otra neoplasia maligna especificada de otros sitios especificados de la piel
6010155,1,173.19,"Otra neoplasia maligna especificada de parpado, con inclusion del canto"
6010156,1,173.29,Otra neoplasia maligna especificada de piel de la oreja y del conducto auditivo externo
6010157,1,173.79,"Otra neoplasia maligna especificada de piel de los miembros inferiores, con inclusion de la cadera"
6010158,1,173.69,"Otra neoplasia maligna especificada de piel de los miembros superiores , con inclusion del hombro"
6010159,1,173.39,Otra neoplasia maligna especificada de piel de otras partes de la cara o de partes no especificadas de la cara
6010160,1,173.59,"Otra neoplasia maligna especificada de piel del tronco, con excepcion del escroto"
6010161,1,173.99,"Otra neoplasia maligna especificada de piel, sitio no especificado"
6010162,1,173.4,Otra neoplasia maligna y las no especificadas de cuero cabelludo y piel del cuello
6010163,1,173.8,Otra neoplasia maligna y las no especificadas de otros sitios especificados de la piel
6010164,1,173.1,"Otra neoplasia maligna y las no especificadas de parpado, con inclusion del canto "
6010165,1,173.2,Otra neoplasia maligna y las no especificadas de piel de la oreja y del conducto auditivo externo 
6010166,1,173.7,"Otra neoplasia maligna y las no especificadas de piel de los miembros inferiores, con inclusion de la cadera"
6010167,1,173.6,"Otra neoplasia maligna y las no especificadas de piel de los miembros superiores , con inclusion del hombro"
6010168,1,173.3,Otra neoplasia maligna y las no especificadas de piel de otras partes de la cara o de partes no especificadas de la cara 
6010169,1,173.5,"Otra neoplasia maligna y las no especificadas de piel del tronco, con excepcion del escroto"
6010170,1,173.9,"Otra neoplasia maligna y las no especificadas de piel, sitio no especificado"
6010171,1,482.49,Otra neumonia por estafilococo
6010172,1,516,Otra neumopatia alveolar y parietoalveolar 
6010173,1,337.09,Otra neuropatia autonoma periferica idiopatica
6010174,12,G90.09,Otra neuropatia autonoma periferica idiopatica
6010175,1,288.09,Otra neutropenia 
6010176,1,604.99,"Otra orquitis, epididimitis y epididimo orq. sin abceso ncoc"
6010177,1,380.22,Otra otitis externa aguda
6010178,1,380.23,Otra otitis externa cronica
6010179,1,380.16,Otra otitis externa infecciosa cronica
6010180,1,381.3,"Otra otitis media no supurativa cronica, y neom"
6010181,1,388.69,Otra otorrea
6010182,1,387.8,Otra otosclerosis
6010183,1,284.19,Otra pancitopenia
6010184,1,525.19,Otra perdida de dientes 
6010185,1,384.23,Otra perforacion marginal del timpano
6010186,1,296.89,Otra psicosis maniacodepresiva no especificada
6010187,1,370.4,Otra queratoconjuntivitis y queratoconjuntivitis no especif.
6010188,12,H16.20,Otra queratoconjuntivitis y queratoconjuntivitis no especif.
6010189,1,349,Otra reaccion a la puncion espinal y lumbar
6010190,12,G97.1,Otra reaccion a la puncion espinal y lumbar
6010191,1,999.5,Otra reaccion a sueros
6010192,1,995,Otra reaccion anafilactica
6010193,1,309.29,Otra reaccion de adaptacion con perturbac. otras emociones
6010194,1,999.88,Otra reaccion por  infusion
6010195,1,999.89,Otra reaccion por transfusion
6010196,1,999.8,Otra reaccion por transfusion e infusion y la no especificada
6010197,12,T80.92,Otra reaccion por transfusion e infusion y la no especificada
6010198,1,788.29,Otra retencion de orina especificada
6010199,1,362.2,Otra retinopatia proliferativa
6010200,12,H35.10,Otra retinopatia proliferativa
6010201,1,362.29,Otra retinopatia proliferativa no diabetica ncoc
6010202,12,J30.2,Otra rinitis alergica estacional
6010203,1,727.69,Otra ruptura no traumatica de tendon  otros no codificados
6010204,1,461.8,Otra sinusitis aguda
6010205,1,015.84,Otra tbc articular especificada dgco.por cultivo
6010206,1,015.83,Otra tbc articular especificada dgco.por microscopia
6010207,1,015.86,Otra tbc articular especificada dgco.por otros tests
6010208,1,015.8,Otra tbc articular especificada neom
6010209,1,015.74,Otra tbc osea especificada dgco.por cultivo
6010210,1,015.75,Otra tbc osea especificada dgco.por histologia
6010211,1,015.76,Otra tbc osea especificada dgco.por otros tests
6010212,1,015.7,Otra tbc osea especificada neom
6010213,1,727.05,Otra tenosinovitis de mano y muñeca  otros no codificados
6010214,1,375.89,Otra trastorno del aparato lagrimal ncoc
6010215,1,377.49,Otra trastorno del nervio optico ncoc
6010216,1,607.89,Otra trastorno especificada de pene ncoc
6010217,1,376.89,Otra trastorno orbital ncoc
6010218,1,602.8,Otra trastorno prostatica especificada
6010219,1,287.39,Otra trombocitopenia primaria
6010220,1,663.21,Otra vuelt/enred neom cordon con compresion parida c/s pat antep/part
6010221,1,625.79,Otra vulvodinia
6010222,12,N94.818,Otra vulvodinia
6010223,1,910.9,Otra/neom lesion superficial cara/cuello/cabell infectada
6010224,1,910.8,Otra/neom lesion superficial cara/cuello/cabell no infectada
6010225,1,580.89,Glomerulonefritis aguda con otra lesion renal especific.ncoc
6010226,1,581.89,Sindrome nefrotico con otra lesion patol. renal especifica ncoc
6010227,1,582.4,Glomerulonefritis cronica progresiva de evolucion rapida
6010228,1,582.89,Glomerulonefritis cron. con otra lesion renal especific.ncoc
6010229,1,583.89,Otra nefrit/nefrop.(no aguda ni cro.)y lesion renal esp.ncoc
6010230,12,N01.8,Síndrome nefrítico rápidamente progresivo con otros cambios morfológicos
6010231,12,N02.8,Hematuria recidivante y persistente con otros cambios morfológicos
6010232,12,N03.8,Síndrome nefrítico crónico con otros cambios morfológicos
6010233,12,N04.8,Síndrome nefrótico con otros cambios morfológicos
6010234,12,N05.8,Síndrome nefrítico no especificado con otros cambios morfológicos
6010235,1,V44.7,Estado vagina artificial
6010236,1,V44.8,Otro estado de apertura artificial
6010237,12,Z93.8,Otro estado de estoma artificial
6010238,1,133.8,Otras acariasis
6010239,1,E008.9,Otras actividades relacionadas de deporte y atletismo
6010240,1,385.19,Otras adhesiones y combinaciones del oido medio
6010241,1,348.89,Otras afecciones de cerebro
6010242,1,348.8,Otras afecciones del cerebro
6010243,12,L53.8,Otras afecciones eritematosas especificadas
6010244,1,629.8,Otras afecciones especificadas asociadas con los organos genitales femeninos y el ciclo menstrual
6010245,12,N94.8,Otras afecciones especificadas asociadas con los organos genitales femeninos y el ciclo menstrual
6010246,1,778.8,"Otras afecciones especificadas de la piel, propias del feto y del recien nacido"
6010247,12,P83.8,"Otras afecciones especificadas de la piel, propias del feto y del recien nacido"
6010248,12,J94.8,Otras afecciones especificadas de la pleura
6010249,1,525.8,Otras afecciones especificadas de los dientes y de sus estructuras de sosten
6010250,12,K08.8,Otras afecciones especificadas de los dientes y de sus estructuras de sosten
6010251,12,O26.893,"Otras afecciones especificadas relacionadas con embarazo, tercer trimestre"
6010252,1,287.8,Otras afecciones hemorragicas especificadas
6010253,12,D69.8,Otras afecciones hemorragicas especificadas
6010254,1,770.2,"Otras afecciones relacionadas con el enfisema intersticial, originadas en el periodo perinatal"
6010255,12,P25.8,"Otras afecciones relacionadas con el enfisema intersticial, originadas en el periodo perinatal"
6010256,12,M30.8,Otras afecciones relacionadas con la poliarteritis nudosa
6010257,1,506.3,"Otras afecciones respiratorias agudas y subagudas debidas a inhalacion de gases, humos, vapores y sustancias quimicas"
